epoch_id,condition,layer,E_AV,U_AV,M_AV,O_HA,E_HV
0730,D0,SPATIAL,6816,55,55,55,2334
0730,D0,PASSENGER,4675,36,36,36,2334
0730,D0,PHYSICAL_DIRECTION_HARD,4675,36,36,36,2334
0730,D0,CAPABILITY_HARD,4675,36,36,36,2334
0730,D0,STRUCTURAL_ROUTE,2241,18,18,18,2334
0730,D0,PRE_TOPK_EVIDENCE,1126,9,9,9,2334
0730,D0,TOPK,136,9,9,9,827
0730,D0,VALID_ETA,136,9,9,9,827
0730,D0,PATIENCE,16,2,2,2,11
0730,D0,SESSION,16,2,2,2,10
0730,D1,SPATIAL,6816,55,55,55,2334
0730,D1,PASSENGER,4675,36,36,36,2334
0730,D1,PHYSICAL_DIRECTION_HARD,4675,36,36,36,2334
0730,D1,CAPABILITY_HARD,4309,34,34,34,2334
0730,D1,STRUCTURAL_ROUTE,2754,18,18,18,2334
0730,D1,PRE_TOPK_EVIDENCE,2754,18,18,18,2334
0730,D1,TOPK,258,18,18,18,713
0730,D1,VALID_ETA,258,18,18,18,713
0730,D1,PATIENCE,23,6,6,3,11
0730,D1,SESSION,23,6,6,2,10
0730,D2,SPATIAL,6816,55,55,55,2334
0730,D2,PASSENGER,4675,36,36,36,2334
0730,D2,PHYSICAL_DIRECTION_HARD,3848,32,32,32,2334
0730,D2,CAPABILITY_HARD,3848,32,32,32,2334
0730,D2,STRUCTURAL_ROUTE,2373,19,19,19,2334
0730,D2,PRE_TOPK_EVIDENCE,1126,9,9,9,2334
0730,D2,TOPK,136,9,9,9,827
0730,D2,VALID_ETA,136,9,9,9,827
0730,D2,PATIENCE,16,2,2,2,11
0730,D2,SESSION,16,2,2,2,10
0730,D3,SPATIAL,6816,55,55,55,2334
0730,D3,PASSENGER,4675,36,36,36,2334
0730,D3,PHYSICAL_DIRECTION_HARD,4675,36,36,36,2334
0730,D3,CAPABILITY_HARD,4675,36,36,36,2334
0730,D3,STRUCTURAL_ROUTE,2241,18,18,18,2334
0730,D3,PRE_TOPK_EVIDENCE,2241,18,18,18,2334
0730,D3,TOPK,258,18,18,18,731
0730,D3,VALID_ETA,258,18,18,18,731
0730,D3,PATIENCE,27,9,9,3,11
0730,D3,SESSION,27,9,9,2,10
0730,D4,SPATIAL,6816,55,55,55,2334
0730,D4,PASSENGER,4675,36,36,36,2334
0730,D4,PHYSICAL_DIRECTION_HARD,4675,36,36,36,2334
0730,D4,CAPABILITY_HARD,4675,36,36,36,2334
0730,D4,STRUCTURAL_ROUTE,4675,36,36,36,2334
0730,D4,PRE_TOPK_EVIDENCE,4675,36,36,36,2334
0730,D4,TOPK,523,36,36,36,534
0730,D4,VALID_ETA,523,36,36,36,534
0730,D4,PATIENCE,51,14,14,5,11
0730,D4,SESSION,51,14,14,4,10
0830,D0,SPATIAL,8422,67,67,67,3300
0830,D0,PASSENGER,5734,44,44,44,3300
0830,D0,PHYSICAL_DIRECTION_HARD,5734,44,44,44,3300
0830,D0,CAPABILITY_HARD,5734,44,44,44,3300
0830,D0,STRUCTURAL_ROUTE,2365,20,20,20,3300
0830,D0,PRE_TOPK_EVIDENCE,1397,12,12,12,3300
0830,D0,TOPK,176,12,12,12,1040
0830,D0,VALID_ETA,176,12,12,12,1040
0830,D0,PATIENCE,3,1,1,0,7
0830,D0,SESSION,3,1,1,0,3
0830,D1,SPATIAL,8422,67,67,67,3300
0830,D1,PASSENGER,5734,44,44,44,3300
0830,D1,PHYSICAL_DIRECTION_HARD,5734,44,44,44,3300
0830,D1,CAPABILITY_HARD,5684,43,43,43,3300
0830,D1,STRUCTURAL_ROUTE,3049,22,22,22,3300
0830,D1,PRE_TOPK_EVIDENCE,3049,22,22,22,3300
0830,D1,TOPK,310,22,22,22,914
0830,D1,VALID_ETA,310,22,22,22,914
0830,D1,PATIENCE,10,3,3,1,7
0830,D1,SESSION,10,3,3,1,3
0830,D2,SPATIAL,8422,67,67,67,3300
0830,D2,PASSENGER,5734,44,44,44,3300
0830,D2,PHYSICAL_DIRECTION_HARD,5156,41,41,41,3300
0830,D2,CAPABILITY_HARD,5156,41,41,41,3300
0830,D2,STRUCTURAL_ROUTE,2810,22,22,22,3300
0830,D2,PRE_TOPK_EVIDENCE,1397,12,12,12,3300
0830,D2,TOPK,176,12,12,12,1040
0830,D2,VALID_ETA,176,12,12,12,1040
0830,D2,PATIENCE,3,1,1,0,7
0830,D2,SESSION,3,1,1,0,3
0830,D3,SPATIAL,8422,67,67,67,3300
0830,D3,PASSENGER,5734,44,44,44,3300
0830,D3,PHYSICAL_DIRECTION_HARD,5734,44,44,44,3300
0830,D3,CAPABILITY_HARD,5734,44,44,44,3300
0830,D3,STRUCTURAL_ROUTE,2365,20,20,20,3300
0830,D3,PRE_TOPK_EVIDENCE,2365,20,20,20,3300
0830,D3,TOPK,289,20,20,20,948
0830,D3,VALID_ETA,289,20,20,20,948
0830,D3,PATIENCE,8,4,4,0,7
0830,D3,SESSION,8,4,4,0,3
0830,D4,SPATIAL,8422,67,67,67,3300
0830,D4,PASSENGER,5734,44,44,44,3300
0830,D4,PHYSICAL_DIRECTION_HARD,5734,44,44,44,3300
0830,D4,CAPABILITY_HARD,5734,44,44,44,3300
0830,D4,STRUCTURAL_ROUTE,5734,44,44,44,3300
0830,D4,PRE_TOPK_EVIDENCE,5734,44,44,44,3300
0830,D4,TOPK,641,44,44,42,631
0830,D4,VALID_ETA,641,44,44,42,631
0830,D4,PATIENCE,54,13,13,2,7
0830,D4,SESSION,54,13,13,2,3
1200,D0,SPATIAL,9088,76,76,76,3815
1200,D0,PASSENGER,5480,50,50,50,3815
1200,D0,PHYSICAL_DIRECTION_HARD,5480,50,50,50,3815
1200,D0,CAPABILITY_HARD,5480,50,50,50,3815
1200,D0,STRUCTURAL_ROUTE,2815,26,26,26,3815
1200,D0,PRE_TOPK_EVIDENCE,1434,14,14,14,3815
1200,D0,TOPK,178,14,14,14,1098
1200,D0,VALID_ETA,178,14,14,14,1098
1200,D0,PATIENCE,9,4,4,2,16
1200,D0,SESSION,9,4,4,0,9
1200,D1,SPATIAL,9088,76,76,76,3815
1200,D1,PASSENGER,5480,50,50,50,3815
1200,D1,PHYSICAL_DIRECTION_HARD,5480,50,50,50,3815
1200,D1,CAPABILITY_HARD,5458,49,49,49,3815
1200,D1,STRUCTURAL_ROUTE,3783,30,30,30,3815
1200,D1,PRE_TOPK_EVIDENCE,3783,30,30,30,3815
1200,D1,TOPK,414,30,30,29,896
1200,D1,VALID_ETA,414,30,30,29,896
1200,D1,PATIENCE,16,8,7,4,16
1200,D1,SESSION,16,8,7,1,9
1200,D2,SPATIAL,9088,76,76,76,3815
1200,D2,PASSENGER,5480,50,50,50,3815
1200,D2,PHYSICAL_DIRECTION_HARD,4893,45,45,45,3815
1200,D2,CAPABILITY_HARD,4893,45,45,45,3815
1200,D2,STRUCTURAL_ROUTE,3324,29,29,29,3815
1200,D2,PRE_TOPK_EVIDENCE,1434,14,14,14,3815
1200,D2,TOPK,178,14,14,14,1098
1200,D2,VALID_ETA,178,14,14,14,1098
1200,D2,PATIENCE,9,4,4,2,16
1200,D2,SESSION,9,4,4,0,9
1200,D3,SPATIAL,9088,76,76,76,3815
1200,D3,PASSENGER,5480,50,50,50,3815
1200,D3,PHYSICAL_DIRECTION_HARD,5480,50,50,50,3815
1200,D3,CAPABILITY_HARD,5480,50,50,50,3815
1200,D3,STRUCTURAL_ROUTE,2815,26,26,26,3815
1200,D3,PRE_TOPK_EVIDENCE,2815,26,26,26,3815
1200,D3,TOPK,366,26,26,25,966
1200,D3,VALID_ETA,366,26,26,25,966
1200,D3,PATIENCE,28,9,9,3,16
1200,D3,SESSION,28,9,9,0,9
1200,D4,SPATIAL,9088,76,76,76,3815
1200,D4,PASSENGER,5480,50,50,50,3815
1200,D4,PHYSICAL_DIRECTION_HARD,5480,50,50,50,3815
1200,D4,CAPABILITY_HARD,5480,50,50,50,3815
