epoch_id,condition,layer,category,waiting_order_count,E_AV,U_AV,M_AV,O_HA,E_HV
0730,D0,SPATIAL,ORIGINAL_REVERSE,26,3638,26,26,26,1249
0730,D0,SPATIAL,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D0,SPATIAL,FALLBACK_EVIDENCE,13,1463,13,13,13,507
0730,D0,PASSENGER,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D0,PASSENGER,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D0,PASSENGER,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D0,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D0,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D0,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D0,CAPABILITY_HARD,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D0,CAPABILITY_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D0,CAPABILITY_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D0,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,26,1115,9,9,9,1249
0730,D0,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D0,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D0,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,26,0,0,0,0,1249
0730,D0,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D0,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,13,0,0,0,0,507
0730,D0,TOPK,ORIGINAL_REVERSE,26,0,0,0,0,457
0730,D0,TOPK,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D0,TOPK,FALLBACK_EVIDENCE,13,0,0,0,0,228
0730,D0,VALID_ETA,ORIGINAL_REVERSE,26,0,0,0,0,457
0730,D0,VALID_ETA,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D0,VALID_ETA,FALLBACK_EVIDENCE,13,0,0,0,0,228
0730,D0,PATIENCE,ORIGINAL_REVERSE,26,0,0,0,0,2
0730,D0,PATIENCE,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D0,PATIENCE,FALLBACK_EVIDENCE,13,0,0,0,0,2
0730,D0,SESSION,ORIGINAL_REVERSE,26,0,0,0,0,1
0730,D0,SESSION,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D0,SESSION,FALLBACK_EVIDENCE,13,0,0,0,0,1
0730,D1,SPATIAL,ORIGINAL_REVERSE,26,3638,26,26,26,1249
0730,D1,SPATIAL,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D1,SPATIAL,FALLBACK_EVIDENCE,13,1463,13,13,13,507
0730,D1,PASSENGER,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D1,PASSENGER,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D1,PASSENGER,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D1,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D1,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D1,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D1,CAPABILITY_HARD,ORIGINAL_REVERSE,26,2677,18,18,18,1249
0730,D1,CAPABILITY_HARD,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D1,CAPABILITY_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D1,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,26,1628,9,9,9,1249
0730,D1,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D1,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,13,741,5,5,5,507
0730,D1,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,26,1628,9,9,9,1249
0730,D1,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D1,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,13,741,5,5,5,507
0730,D1,TOPK,ORIGINAL_REVERSE,26,122,9,9,9,343
0730,D1,TOPK,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D1,TOPK,FALLBACK_EVIDENCE,13,70,5,5,5,166
0730,D1,VALID_ETA,ORIGINAL_REVERSE,26,122,9,9,9,343
0730,D1,VALID_ETA,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D1,VALID_ETA,FALLBACK_EVIDENCE,13,70,5,5,5,166
0730,D1,PATIENCE,ORIGINAL_REVERSE,26,7,4,4,1,2
0730,D1,PATIENCE,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D1,PATIENCE,FALLBACK_EVIDENCE,13,7,4,4,1,2
0730,D1,SESSION,ORIGINAL_REVERSE,26,7,4,4,0,1
0730,D1,SESSION,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D1,SESSION,FALLBACK_EVIDENCE,13,7,4,4,0,1
0730,D2,SPATIAL,ORIGINAL_REVERSE,26,3638,26,26,26,1249
0730,D2,SPATIAL,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D2,SPATIAL,FALLBACK_EVIDENCE,13,1463,13,13,13,507
0730,D2,PASSENGER,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D2,PASSENGER,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D2,PASSENGER,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D2,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,26,1982,15,15,15,1249
0730,D2,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D2,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D2,CAPABILITY_HARD,ORIGINAL_REVERSE,26,1982,15,15,15,1249
0730,D2,CAPABILITY_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D2,CAPABILITY_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D2,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,26,1247,10,10,10,1249
0730,D2,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,2,132,1,1,1,114
0730,D2,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,13,1115,9,9,9,507
