condition,mode,tolerance,gained_states,lost_states,gained_with_O_HA_increase
D0,A1,0.0,[],[],[]
D0,A1,0.005,[],[],[]
D0,A1,0.01,[],[],[]
D0,A1,0.02,[],[],[]
D0,A1,0.05,[],[],[]
D0,A2,0.0,[],[],[]
D0,A2,0.005,[],[],[]
D0,A2,0.01,[],[],[]
D0,A2,0.02,[],[],[]
D0,A2,0.05,[],[],[]
D1,A1,0.0,[],[],[]
D1,A1,0.005,[],[],[]
D1,A1,0.01,[],[],[]
D1,A1,0.02,"[""1800""]",[],"[""1800""]"
D1,A1,0.05,"[""0730"",""1800"",""1830""]",[],"[""1800"",""1830""]"
D1,A2,0.0,[],[],[]
D1,A2,0.005,[],[],[]
D1,A2,0.01,[],[],[]
D1,A2,0.02,"[""1800""]",[],"[""1800""]"
D1,A2,0.05,"[""0730"",""1800"",""1830""]",[],"[""1800"",""1830""]"
D2,A1,0.0,[],[],[]
D2,A1,0.005,[],[],[]
D2,A1,0.01,[],[],[]
D2,A1,0.02,[],[],[]
D2,A1,0.05,[],[],[]
D2,A2,0.0,[],[],[]
D2,A2,0.005,[],[],[]
D2,A2,0.01,[],[],[]
D2,A2,0.02,[],[],[]
D2,A2,0.05,[],[],[]
D3,A1,0.0,[],[],[]
D3,A1,0.005,[],[],[]
D3,A1,0.01,[],[],[]
D3,A1,0.02,[],[],[]
D3,A1,0.05,"[""0730"",""1800"",""1830""]",[],"[""1800"",""1830""]"
D3,A2,0.0,[],[],[]
D3,A2,0.005,[],[],[]
D3,A2,0.01,[],[],[]
D3,A2,0.02,[],[],[]
D3,A2,0.05,"[""0730"",""1800"",""1830""]",[],"[""1800"",""1830""]"
D4,A1,0.0,[],[],[]
D4,A1,0.005,[],[],[]
D4,A1,0.01,"[""1800""]",[],"[""1800""]"
D4,A1,0.02,"[""0830"",""1800"",""2100""]",[],"[""0830"",""1800""]"
D4,A1,0.05,"[""0730"",""0830"",""1300"",""1800"",""1830""]",[],"[""0730"",""0830"",""1300"",""1800"",""1830""]"
D4,A2,0.0,[],[],[]
D4,A2,0.005,[],[],[]
D4,A2,0.01,"[""1800""]",[],"[""1800""]"
D4,A2,0.02,"[""0830"",""1200"",""1800"",""2100""]",[],"[""0830"",""1200"",""1800""]"
D4,A2,0.05,"[""0730"",""0830"",""1200"",""1300"",""1800"",""1830""]",[],"[""0730"",""0830"",""1200"",""1300"",""1800"",""1830""]"
