q_A,timestamp,rt_variant,patience_s,waiting_orders,retained_180s_cohort,additional_waiting_orders,critical_orders,physical_state_sha256,production_subsecond_expired_orders,av_arcs_lost_to_integer_deadline,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M,mixed_E,mixed_U,mixed_M,production_av_E,production_av_U,production_av_M,retained_mixed_E,retained_mixed_U,retained_mixed_M,retained_av_E,retained_av_U,retained_av_M,additional_mixed_E,additional_mixed_U,additional_mixed_M
0.5,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,300,76,57,19,8,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,9088,76,76,5480,50,50,2815,26,26,1434,14,14,178,14,14,178,14,14,9,4,4,9,4,4,18,6,6,9,4,4,18,6,6,9,4,4,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-Low,300,136,92,44,6,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,18571,136,136,13131,94,94,7497,57,57,4947,36,36,501,36,36,501,36,36,31,9,9,31,9,9,74,30,28,31,9,9,73,29,27,30,8,8,1,1,1
0.5,2016-10-31T12:00:00+08:00,RT-Base,300,136,79,57,17,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,2,0,21247,136,136,14657,97,97,7558,47,47,3893,27,27,374,27,27,374,27,27,29,7,7,29,7,7,59,22,20,29,7,7,39,18,17,13,5,5,20,4,4
0.5,2016-10-31T12:00:00+08:00,RT-High,300,153,92,61,15,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,22840,153,153,15910,106,106,8530,60,60,5106,36,36,512,36,36,512,36,36,26,10,10,26,10,10,97,32,28,26,10,10,88,26,24,23,9,9,9,6,6
0.5,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,300,85,54,31,13,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,11813,85,85,7129,52,52,3027,19,19,1550,10,10,96,10,10,96,10,10,3,1,1,3,1,1,22,4,4,3,1,1,22,4,4,3,1,1,0,0,0
0.5,2016-10-31T17:30:00+08:00,RT-Low,300,143,90,53,14,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,22628,143,143,14792,96,96,6949,47,47,4011,28,28,296,28,28,296,28,28,14,3,3,14,3,3,28,14,12,14,3,3,20,12,10,7,2,2,8,2,2
0.5,2016-10-31T17:30:00+08:00,RT-Base,300,133,81,52,15,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,20624,133,133,15123,96,96,8812,55,55,5572,37,37,371,37,37,371,37,37,13,4,4,13,4,4,75,14,12,13,4,4,73,12,11,13,4,4,2,2,2
0.5,2016-10-31T17:30:00+08:00,RT-High,300,164,111,53,16,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,22916,164,164,15784,113,113,7268,54,54,5385,42,42,424,42,42,424,42,42,18,9,8,18,9,8,69,24,20,18,9,8,63,20,18,17,8,7,6,4,4
0.75,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,300,102,76,26,9,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,19357,102,102,12364,67,67,5446,31,31,2186,14,14,241,14,14,241,14,14,10,3,3,10,3,3,11,4,4,10,3,3,11,4,4,10,3,3,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-Low,300,137,92,45,7,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,28267,137,137,20122,95,95,11602,58,58,7393,36,36,662,36,36,662,36,36,41,9,9,41,9,9,51,18,17,41,9,9,50,17,16,40,8,8,1,1,1
0.75,2016-10-31T12:00:00+08:00,RT-Base,300,136,79,57,17,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,2,0,31893,136,136,22031,97,97,11416,47,47,5884,27,27,503,27,27,503,27,27,38,8,8,38,8,8,43,13,12,38,8,8,25,12,11,20,7,7,18,1,1
0.75,2016-10-31T12:00:00+08:00,RT-High,300,153,92,61,15,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,34312,153,153,23971,106,106,12839,60,60,7669,36,36,672,36,36,672,36,36,37,11,11,37,11,11,41,15,14,37,11,11,36,11,11,34,9,9,5,4,3
0.75,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,300,106,64,42,12,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,23247,106,106,14497,67,67,5850,25,25,3543,15,15,231,15,15,231,15,15,0,0,0,0,0,0,4,1,1,0,0,0,4,1,1,0,0,0,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-Low,300,145,90,55,15,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,34514,145,145,22687,98,98,10956,49,49,6583,30,30,483,30,30,483,30,30,22,5,5,22,5,5,26,8,8,22,5,5,19,6,6,16,4,4,7,2,2
0.75,2016-10-31T17:30:00+08:00,RT-Base,300,133,81,52,15,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,31212,133,133,22921,96,96,13438,55,55,8500,37,37,584,37,37,584,37,37,23,6,6,23,6,6,32,9,9,23,6,6,30,7,7,23,6,6,2,2,2
0.75,2016-10-31T17:30:00+08:00,RT-High,300,164,111,53,16,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,34727,164,164,23997,113,113,11115,54,54,8273,42,42,665,42,42,665,42,42,25,11,11,25,11,11,34,19,19,25,11,11,32,17,17,24,10,10,2,2,2
0.5,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,180,57,57,0,6,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,5092,57,57,2608,36,36,1506,19,19,595,9,9,107,9,9,107,9,9,2,2,2,2,2,2,9,3,3,2,2,2,9,3,3,2,2,2,0,0,0
0.5,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,600,136,57,79,8,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,21429,136,136,14427,93,93,5933,41,41,3175,22,22,300,22,22,300,22,22,77,9,9,77,9,9,279,54,42,77,9,9,267,49,39,75,8,8,12,5,5
0.5,2016-10-31T12:00:00+08:00,RT-Low,180,92,92,0,15,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,9081,92,92,6442,63,63,3668,40,40,2526,25,25,339,25,25,339,25,25,17,3,3,17,3,3,38,10,10,17,3,3,38,10,10,17,3,3,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-Low,600,222,92,130,7,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,36921,222,222,25026,150,150,13340,85,85,7469,49,49,681,49,49,681,49,49,267,33,31,267,33,31,687,111,79,267,33,31,600,78,69,239,24,22,87,33,28
0.5,2016-10-31T12:00:00+08:00,RT-Base,180,79,79,0,14,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,8975,79,79,6409,59,59,3163,27,27,1756,17,17,223,17,17,223,17,17,6,2,2,6,2,2,17,6,5,6,2,2,17,6,5,6,2,2,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-Base,600,262,79,183,13,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,0,47951,262,235,33559,186,186,19181,101,101,10133,57,57,806,57,57,806,57,57,216,32,30,216,32,30,636,125,79,216,32,30,437,67,56,150,15,15,199,58,46
0.5,2016-10-31T12:00:00+08:00,RT-High,180,92,92,0,20,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,1,0,9967,92,92,6457,61,61,3177,34,34,2053,21,21,294,21,21,294,21,21,15,4,4,15,4,4,44,16,14,15,4,4,44,16,14,15,4,4,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-High,600,305,92,213,14,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,0,1,54530,305,235,37713,210,210,19987,115,115,12825,73,73,1046,73,73,1046,73,73,352,47,46,352,47,46,855,146,97,351,47,46,532,76,65,205,19,19,323,70,58
0.5,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,180,54,54,0,7,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,5013,54,54,2608,31,31,937,9,9,613,5,5,54,5,5,54,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,600,174,54,120,7,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,31055,174,174,20302,112,112,9541,48,48,3908,21,21,211,21,21,211,21,21,9,3,3,9,3,3,133,43,25,9,3,3,121,35,23,9,3,3,12,8,7
0.5,2016-10-31T17:30:00+08:00,RT-Low,180,90,90,0,12,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,11367,90,90,8077,64,64,3951,32,32,2649,21,21,216,21,21,216,21,21,6,2,2,6,2,2,10,5,5,6,2,2,10,5,5,6,2,2,0,0,0
0.5,2016-10-31T17:30:00+08:00,RT-Low,600,222,90,132,9,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,39615,222,222,26727,152,152,11450,68,68,6249,39,39,405,39,39,405,39,39,94,19,19,94,19,19,315,82,49,94,19,19,240,66,44,65,15,15,75,16,16
0.5,2016-10-31T17:30:00+08:00,RT-Base,180,81,81,0,16,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,1,0,9389,81,81,6507,56,56,4085,33,33,2469,22,22,202,22,22,202,22,22,1,1,1,1,1,1,20,5,5,1,1,1,20,5,5,1,1,1,0,0,0
