q_A,timestamp,rt_variant,patience_s,waiting_orders,retained_180s_cohort,additional_waiting_orders,critical_orders,physical_state_sha256,production_subsecond_expired_orders,av_arcs_lost_to_integer_deadline,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M,mixed_E,mixed_U,mixed_M,production_av_E,production_av_U,production_av_M,retained_mixed_E,retained_mixed_U,retained_mixed_M,retained_av_E,retained_av_U,retained_av_M,additional_mixed_E,additional_mixed_U,additional_mixed_M
0.5,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,300,76,57,19,8,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,9259,76,76,5586,50,50,2867,26,26,1461,14,14,176,14,14,176,14,14,13,5,5,13,5,5,38,14,14,13,5,5,38,14,14,13,5,5,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-Low,300,136,92,44,6,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,18938,136,136,13389,94,94,7652,57,57,5048,36,36,472,36,36,472,36,36,33,10,10,33,10,10,93,36,33,33,10,10,89,34,31,31,8,8,4,2,2
0.5,2016-10-31T12:00:00+08:00,RT-Base,300,136,79,57,17,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,2,0,21647,136,136,14931,97,97,7699,47,47,3971,27,27,361,27,27,361,27,27,30,8,8,30,8,8,72,30,27,30,8,8,50,25,22,14,6,6,22,5,5
0.5,2016-10-31T12:00:00+08:00,RT-High,300,153,92,61,15,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,23271,153,153,16213,106,106,8695,60,60,5202,36,36,485,36,36,485,36,36,27,10,10,27,10,10,116,38,34,27,10,10,106,32,30,24,9,9,10,6,6
0.5,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,300,85,54,31,13,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,11864,85,85,7161,52,52,3042,19,19,1558,10,10,91,10,10,91,10,10,4,1,1,4,1,1,37,12,12,4,1,1,37,12,12,4,1,1,0,0,0
0.5,2016-10-31T17:30:00+08:00,RT-Low,300,143,90,53,14,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,22725,143,143,14854,96,96,6979,47,47,4027,28,28,286,28,28,286,28,28,14,3,3,14,3,3,40,20,19,14,3,3,29,16,16,7,2,2,11,4,4
0.5,2016-10-31T17:30:00+08:00,RT-Base,300,133,81,52,15,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,20714,133,133,15190,96,96,8849,55,55,5596,37,37,349,37,37,349,37,37,13,4,4,13,4,4,78,17,14,13,4,4,76,15,13,13,4,4,2,2,2
0.5,2016-10-31T17:30:00+08:00,RT-High,300,164,111,53,16,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,0,0,23017,164,164,15853,113,113,7298,54,54,5407,42,42,412,42,42,412,42,42,18,9,8,18,9,8,75,27,23,18,9,8,69,23,21,17,8,7,6,4,4
0.75,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,300,102,76,26,9,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,19675,102,102,12565,67,67,5536,31,31,2223,14,14,232,14,14,232,14,14,15,5,5,15,5,5,37,21,14,15,5,5,37,21,14,15,5,5,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-Low,300,137,92,45,7,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,28730,137,137,20451,95,95,11797,58,58,7517,36,36,624,36,36,624,36,36,43,11,11,43,11,11,65,25,23,43,11,11,61,23,21,40,9,9,4,2,2
