q_A,scenario_id,timestamp,period,rt_variant,physical_state_sha256,available_vehicles,available_AV,waiting_orders,imminently_expiring_orders,remaining_patience_mean_s,av_option_orders,maximum_AV_matching,patience_M_retention,patience_U_retention,patience_E_retention,selected_assignment_count,expired_orders,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,CANONICAL_ZERO_LEAD,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,349,239,76,8,188.67105263157896,5,5,0.35714285714285715,0.35714285714285715,0.07386363636363637,,,9259,76,76,5586,50,50,2867,26,26,1461,14,14,176,14,14,176,14,14,13,5,5,13,5,5
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,RT-Low,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,349,239,136,6,165.1948553308824,10,10,0.2777777777777778,0.2777777777777778,0.06991525423728813,,,18938,136,136,13389,94,94,7652,57,57,5048,36,36,472,36,36,472,36,36,33,10,10,33,10,10
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,RT-Base,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,349,239,136,17,140.05209807352972,8,8,0.2962962962962963,0.2962962962962963,0.08310249307479224,,,21647,136,136,14931,97,97,7699,47,47,3971,27,27,361,27,27,361,27,27,30,8,8,30,8,8
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,RT-High,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,349,239,153,15,151.2148453137258,10,10,0.2777777777777778,0.2777777777777778,0.05567010309278351,,,23271,153,153,16213,106,106,8695,60,60,5202,36,36,485,36,36,485,36,36,27,10,10,27,10,10
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,CANONICAL_ZERO_LEAD,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,435,240,85,13,164.08235294117648,1,1,0.1,0.1,0.04395604395604396,,,11864,85,85,7161,52,52,3042,19,19,1558,10,10,91,10,10,91,10,10,4,1,1,4,1,1
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,RT-Low,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,435,240,143,14,151.0623557062938,3,3,0.10714285714285714,0.10714285714285714,0.04895104895104895,,,22725,143,143,14854,96,96,6979,47,47,4027,28,28,286,28,28,286,28,28,14,3,3,14,3,3
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,RT-Base,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,435,240,133,15,148.43135835338353,4,4,0.10810810810810811,0.10810810810810811,0.03724928366762178,,,20714,133,133,15190,96,96,8849,55,55,5596,37,37,349,37,37,349,37,37,13,4,4,13,4,4
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,RT-High,fd71423b24c676cae0b1751fdf24f2676b704250a0a221c20eab57722d3540b7,435,240,164,16,162.4195607195122,9,8,0.19047619047619047,0.21428571428571427,0.043689320388349516,,,23017,164,164,15853,113,113,7298,54,54,5407,42,42,412,42,42,412,42,42,18,9,8,18,9,8
0.75,MAIN_Q75_M_P70,2016-10-31T12:00:00+08:00,NORMAL,CANONICAL_ZERO_LEAD,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,396,359,102,9,182.1078431372549,5,5,0.35714285714285715,0.35714285714285715,0.06465517241379311,,,19675,102,102,12565,67,67,5536,31,31,2223,14,14,232,14,14,232,14,14,15,5,5,15,5,5
0.75,MAIN_Q75_M_P70,2016-10-31T12:00:00+08:00,NORMAL,RT-Low,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,396,359,137,7,164.01090015328475,11,11,0.3055555555555556,0.3055555555555556,0.06891025641025642,,,28730,137,137,20451,95,95,11797,58,58,7517,36,36,624,36,36,624,36,36,43,11,11,43,11,11
