epoch_id,period,physical_state_sha256,K,E,U,M
0730,MORNING_PEAK,e189d74da1bc323d415cd743728791c9d9157d37f913d7f20db833b5b7f8f87b,10,11,2,2
0730,MORNING_PEAK,e189d74da1bc323d415cd743728791c9d9157d37f913d7f20db833b5b7f8f87b,20,18,2,2
0730,MORNING_PEAK,e189d74da1bc323d415cd743728791c9d9157d37f913d7f20db833b5b7f8f87b,40,18,2,2
0730,MORNING_PEAK,e189d74da1bc323d415cd743728791c9d9157d37f913d7f20db833b5b7f8f87b,80,18,2,2
0830,MORNING_PEAK,d7bff99e213bf7e299e645743345dda1b2ad2001b86a7c93f18109c61a98d29f,10,2,1,1
0830,MORNING_PEAK,d7bff99e213bf7e299e645743345dda1b2ad2001b86a7c93f18109c61a98d29f,20,3,1,1
0830,MORNING_PEAK,d7bff99e213bf7e299e645743345dda1b2ad2001b86a7c93f18109c61a98d29f,40,6,1,1
0830,MORNING_PEAK,d7bff99e213bf7e299e645743345dda1b2ad2001b86a7c93f18109c61a98d29f,80,6,1,1
1200,MIDDAY,96614cadfb43b9656b31fd2e80c18dbc132615a57194600569df5943414e5602,10,13,5,5
1200,MIDDAY,96614cadfb43b9656b31fd2e80c18dbc132615a57194600569df5943414e5602,20,13,5,5
1200,MIDDAY,96614cadfb43b9656b31fd2e80c18dbc132615a57194600569df5943414e5602,40,13,5,5
1200,MIDDAY,96614cadfb43b9656b31fd2e80c18dbc132615a57194600569df5943414e5602,80,18,5,5
1300,MIDDAY,c7fe5625d627d8b48b46d6390a19fcd043b5c9457328c4f6181225f1cfbe964e,10,7,1,1
1300,MIDDAY,c7fe5625d627d8b48b46d6390a19fcd043b5c9457328c4f6181225f1cfbe964e,20,7,1,1
1300,MIDDAY,c7fe5625d627d8b48b46d6390a19fcd043b5c9457328c4f6181225f1cfbe964e,40,7,1,1
1300,MIDDAY,c7fe5625d627d8b48b46d6390a19fcd043b5c9457328c4f6181225f1cfbe964e,80,7,1,1
1700,EVENING_PEAK,f88787697ffcb2e113f56eb3410b337fa1c37aa86660a6667d97a6ae2475a9aa,10,0,0,0
1700,EVENING_PEAK,f88787697ffcb2e113f56eb3410b337fa1c37aa86660a6667d97a6ae2475a9aa,20,0,0,0
1700,EVENING_PEAK,f88787697ffcb2e113f56eb3410b337fa1c37aa86660a6667d97a6ae2475a9aa,40,0,0,0
1700,EVENING_PEAK,f88787697ffcb2e113f56eb3410b337fa1c37aa86660a6667d97a6ae2475a9aa,80,0,0,0
1730,EVENING_PEAK,3479ae8d2b7a5432fda31f18b18ea75a005f115196f6f5f34257dd706364ab39,10,4,1,1
1730,EVENING_PEAK,3479ae8d2b7a5432fda31f18b18ea75a005f115196f6f5f34257dd706364ab39,20,4,1,1
1730,EVENING_PEAK,3479ae8d2b7a5432fda31f18b18ea75a005f115196f6f5f34257dd706364ab39,40,4,1,1
1730,EVENING_PEAK,3479ae8d2b7a5432fda31f18b18ea75a005f115196f6f5f34257dd706364ab39,80,4,1,1
1800,EVENING_PEAK,8a14079d10d02c765025c2c7ba4eb5e169782c144698d5429ebad489a9955adc,10,0,0,0
1800,EVENING_PEAK,8a14079d10d02c765025c2c7ba4eb5e169782c144698d5429ebad489a9955adc,20,0,0,0
1800,EVENING_PEAK,8a14079d10d02c765025c2c7ba4eb5e169782c144698d5429ebad489a9955adc,40,0,0,0
1800,EVENING_PEAK,8a14079d10d02c765025c2c7ba4eb5e169782c144698d5429ebad489a9955adc,80,0,0,0
1830,EVENING_PEAK,85f5e65c05a18fea5ad7833dffe1e5b92921aeacafa11ac3e3b1db04870a54d9,10,0,0,0
1830,EVENING_PEAK,85f5e65c05a18fea5ad7833dffe1e5b92921aeacafa11ac3e3b1db04870a54d9,20,0,0,0
1830,EVENING_PEAK,85f5e65c05a18fea5ad7833dffe1e5b92921aeacafa11ac3e3b1db04870a54d9,40,0,0,0
1830,EVENING_PEAK,85f5e65c05a18fea5ad7833dffe1e5b92921aeacafa11ac3e3b1db04870a54d9,80,0,0,0
2100,OFF_PEAK,b94263f905770bde485edf5a2b9e91514689a98288b510c9c3c3ca450079761d,10,8,2,2
2100,OFF_PEAK,b94263f905770bde485edf5a2b9e91514689a98288b510c9c3c3ca450079761d,20,10,2,2
2100,OFF_PEAK,b94263f905770bde485edf5a2b9e91514689a98288b510c9c3c3ca450079761d,40,10,2,2
2100,OFF_PEAK,b94263f905770bde485edf5a2b9e91514689a98288b510c9c3c3ca450079761d,80,10,2,2
2300,OFF_PEAK,eebd092bbf41c45e53d93f753391fdf78ef5989b14ddfb578f75aae76538a0de,10,2,2,2
2300,OFF_PEAK,eebd092bbf41c45e53d93f753391fdf78ef5989b14ddfb578f75aae76538a0de,20,2,2,2
2300,OFF_PEAK,eebd092bbf41c45e53d93f753391fdf78ef5989b14ddfb578f75aae76538a0de,40,2,2,2
2300,OFF_PEAK,eebd092bbf41c45e53d93f753391fdf78ef5989b14ddfb578f75aae76538a0de,80,2,2,2
