scenario_id,experiment_block,profile_id,requested_q_A,target_p_A,gamma_policy,family,mean_assigned_exposure,positive_assigned_exposure_share,final_cumulative_mean_exposure,maximum_cumulative_mean_exposure,binding_epoch_count,near_binding_epoch_count,minimum_slack,mean_slack
MAIN_Q25_C_P40,MAIN_STRUCTURAL,C,0.25,0.4,UNCONSTRAINED,static,7.849941956882255,0.917910447761194,7.849941956882256,9.977777777777778,,,,
MAIN_Q25_C_P40,MAIN_STRUCTURAL,C,0.25,0.4,UNCONSTRAINED,dynamic,0.4275196810720416,0.7925373134328358,0.42751968107204136,0.6549703368888269,,,,
MAIN_Q25_C_P40,MAIN_STRUCTURAL,C,0.25,0.4,UNCONSTRAINED,speed,0.12238805970149258,0.7208955223880597,0.12238805970149269,0.16666666666666674,,,,
MAIN_Q25_C_P70,MAIN_STRUCTURAL,C,0.25,0.7,UNCONSTRAINED,static,7.653137468262604,0.926006528835691,7.653137468262608,10.053846153846154,,,,
MAIN_Q25_C_P70,MAIN_STRUCTURAL,C,0.25,0.7,UNCONSTRAINED,dynamic,0.40098960510487874,0.794341675734494,0.4009896051048787,0.6445251191930628,,,,
MAIN_Q25_C_P70,MAIN_STRUCTURAL,C,0.25,0.7,UNCONSTRAINED,speed,0.12132752992383031,0.720348204570185,0.12132752992383103,0.16666666666666674,,,,
MAIN_Q25_C_P100,MAIN_STRUCTURAL,C,0.25,1.0,UNCONSTRAINED,static,7.263503503503504,0.936036036036036,7.26350350350351,8.979999999999999,,,,
MAIN_Q25_C_P100,MAIN_STRUCTURAL,C,0.25,1.0,UNCONSTRAINED,dynamic,0.3808593915665164,0.763063063063063,0.3808593915665166,0.8092011237547739,,,,
MAIN_Q25_C_P100,MAIN_STRUCTURAL,C,0.25,1.0,UNCONSTRAINED,speed,0.11981981981981987,0.7189189189189189,0.11981981981982046,0.16666666666666674,,,,
MAIN_Q25_M_P40,MAIN_STRUCTURAL,M,0.25,0.4,UNCONSTRAINED,static,2.383153255843822,0.8700873362445415,2.3831532558438235,3.476470588235294,,,,
MAIN_Q25_M_P40,MAIN_STRUCTURAL,M,0.25,0.4,UNCONSTRAINED,dynamic,0.15987205838201116,0.4836244541484716,0.1598720583820111,0.2994903924532548,,,,
MAIN_Q25_M_P40,MAIN_STRUCTURAL,M,0.25,0.4,UNCONSTRAINED,speed,0.0004776200873362445,0.001091703056768559,0.0004776200873362445,0.0026355421686746986,,,,
MAIN_Q25_M_P70,MAIN_STRUCTURAL,M,0.25,0.7,UNCONSTRAINED,static,2.464865701967392,0.8694187026116259,2.4648657019673923,3.476470588235294,,,,
