scenario_id,time_bin_start,gate_av_n0_spatial,gate_av_n1_passenger_compatible,gate_av_n2_structurally_ready,gate_av_n3_evidence_complete,gate_av_n3a_shared_topk,gate_av_n3b_route_returned,gate_av_n4_pickup_within_patience,gate_av_n5_solver_eligible,gate_av_n6_selected,gate_av_loss_acceptance,gate_av_loss_no_selected_route,gate_av_loss_hard_infeasible,gate_av_loss_hard_unknown,gate_av_loss_evidence_incomplete,gate_av_loss_shared_topk,gate_av_loss_routing_failure,gate_av_loss_patience,gate_av_loss_other_arc_condition,gate_av_loss_dispatch_competition,eligibility_conversion_n5_over_n0,assignment_conversion_n6_over_n0,acceptance_retention_n1_over_n0
MAIN_Q25_M_P70,2016-10-31 00:00:00+08:00,10758,5867,2194,365,283,283,189,189,18,4891,3453,0,220,1829,82,0,94,0,171,0.017568321249302844,0.0016731734523145567,0.5453615913738613
MAIN_Q25_M_P70,2016-10-31 00:15:00+08:00,25106,17389,3880,388,337,337,214,214,22,7717,8648,0,4861,3492,51,0,123,0,192,0.008523858838524655,0.0008762845534931889,0.69262327730423
MAIN_Q25_M_P70,2016-10-31 00:30:00+08:00,20097,12054,1751,227,195,195,108,108,15,8043,6873,0,3430,1524,32,0,87,0,93,0.005373936408419167,0.0007463800567248843,0.599791013584117
MAIN_Q25_M_P70,2016-10-31 00:45:00+08:00,21740,16740,4608,202,168,168,97,97,9,5000,7354,0,4778,4406,34,0,71,0,88,0.0044618215271389145,0.0004139834406623735,0.7700091996320148
MAIN_Q25_M_P70,2016-10-31 01:00:00+08:00,22538,15404,6782,328,203,203,91,91,12,7134,4407,0,4215,6454,125,0,112,0,79,0.004037625343863697,0.0005324341112787292,0.6834679208447955
MAIN_Q25_M_P70,2016-10-31 01:15:00+08:00,21911,17835,5993,804,237,237,116,116,10,4076,9228,0,2614,5189,567,0,121,0,106,0.0052941444936333345,0.00045639176669252886,0.8139747158961252
MAIN_Q25_M_P70,2016-10-31 01:30:00+08:00,18914,10798,2448,111,103,103,50,50,5,8116,4489,0,3861,2337,8,0,53,0,45,0.0026435444644178916,0.00026435444644178915,0.5708998625356878
MAIN_Q25_M_P70,2016-10-31 01:45:00+08:00,7703,5634,276,154,122,122,74,74,9,2069,3759,0,1599,122,32,0,48,0,65,0.009606646761002207,0.0011683759574191873,0.7314033493444113
MAIN_Q25_M_P70,2016-10-31 02:00:00+08:00,18171,12371,3021,181,165,165,96,96,11,5800,7471,0,1879,2840,16,0,69,0,85,0.005283143470364867,0.0006053601893126411,0.6808100819987892
MAIN_Q25_M_P70,2016-10-31 02:15:00+08:00,11367,9655,3017,208,180,180,102,102,12,1712,3454,0,3184,2809,28,0,78,0,90,0.008973343890208499,0.0010556875164951175,0.8493885809800299
MAIN_Q25_M_P70,2016-10-31 02:30:00+08:00,10122,5438,2432,72,65,65,26,26,5,4684,1794,0,1212,2360,7,0,39,0,21,0.002568662319699664,0.0004939735230191662,0.5372456036356451
MAIN_Q25_M_P70,2016-10-31 02:45:00+08:00,12962,7889,1488,98,79,79,47,47,4,5073,4132,0,2269,1390,19,0,32,0,43,0.0036259836444993056,0.00030859435272334514,0.6086252121586175
MAIN_Q25_M_P70,2016-10-31 03:00:00+08:00,16375,11010,2819,810,219,219,63,63,6,5365,7531,0,660,2009,591,0,156,0,57,0.0038473282442748093,0.000366412213740458,0.6723664122137405
MAIN_Q25_M_P70,2016-10-31 03:15:00+08:00,10374,9216,1036,106,95,95,40,40,4,1158,6485,0,1695,930,11,0,55,0,36,0.00385579332947754,0.000385579332947754,0.8883747831116252
MAIN_Q25_M_P70,2016-10-31 03:30:00+08:00,9614,6881,1325,65,62,62,49,49,3,2733,4840,0,716,1260,3,0,13,0,46,0.005096733929685875,0.00031204493447056374,0.7157270646973164
MAIN_Q25_M_P70,2016-10-31 03:45:00+08:00,14588,8496,1776,89,70,70,42,42,5,6092,4661,0,2059,1687,19,0,28,0,37,0.0028790786948176585,0.00034274746366876887,0.5823964902659721
MAIN_Q25_M_P70,2016-10-31 04:00:00+08:00,6588,3749,17,17,17,17,9,9,1,2839,988,0,2744,0,0,0,8,0,8,0.001366120218579235,0.00015179113539769278,0.5690649666059502
MAIN_Q25_M_P70,2016-10-31 04:15:00+08:00,3025,2025,77,77,77,77,39,39,5,1000,1150,0,798,0,0,0,38,0,34,0.012892561983471074,0.001652892561983471,0.6694214876033058
MAIN_Q25_M_P70,2016-10-31 04:30:00+08:00,5911,3899,3122,98,93,93,44,44,2,2012,730,0,47,3024,5,0,49,0,42,0.007443748942649298,0.0003383522246658772,0.6596176619861276
MAIN_Q25_M_P70,2016-10-31 04:45:00+08:00,8959,5805,1829,715,185,185,24,24,3,3154,2529,0,1447,1114,530,0,161,0,21,0.0026788704096439337,0.0003348588012054917,0.6479517803326265
MAIN_Q25_M_P70,2016-10-31 05:00:00+08:00,8528,8230,930,107,105,105,46,46,5,298,5027,0,2273,823,2,0,59,0,41,0.0053939962476547846,0.0005863039399624766,0.9650562851782364
MAIN_Q25_M_P70,2016-10-31 05:15:00+08:00,6551,4175,68,58,58,58,26,26,3,2376,1216,0,2891,10,0,0,32,0,23,0.0039688597160738815,0.00045794535185467866,0.6373072813310945
MAIN_Q25_M_P70,2016-10-31 05:30:00+08:00,9603,6686,2367,47,43,43,27,27,4,2917,2567,0,1752,2320,4,0,16,0,23,0.0028116213683223993,0.0004165364990107258,0.6962407580964282
MAIN_Q25_M_P70,2016-10-31 05:45:00+08:00,19067,14524,2787,80,71,71,39,39,5,4543,5466,0,6271,2707,9,0,32,0,34,0.0020454187863848533,0.00026223317774164785,0.7617349347039387
MAIN_Q25_M_P70,2016-10-31 06:00:00+08:00,9268,8658,1067,146,130,130,60,60,8,610,2780,0,4811,921,16,0,70,0,52,0.006473888649115235,0.0008631851532153647,0.9341821320673285
MAIN_Q25_M_P70,2016-10-31 06:15:00+08:00,11625,6281,1047,214,186,186,87,87,6,5344,4894,0,340,833,28,0,99,0,81,0.007483870967741935,0.0005161290322580645,0.5403010752688172
MAIN_Q25_M_P70,2016-10-31 06:30:00+08:00,20739,14560,6112,2348,679,679,110,110,11,6179,8145,0,303,3764,1669,0,569,0,99,0.005304016587106418,0.0005304016587106418,0.7020589228024495
MAIN_Q25_M_P70,2016-10-31 06:45:00+08:00,38999,24348,15826,3967,884,884,41,41,9,14651,6260,0,2262,11859,3083,0,843,0,32,0.0010513090079232801,0.00023077514808072,0.6243237006077079
MAIN_Q25_M_P70,2016-10-31 07:00:00+08:00,44129,30874,13926,3118,616,616,42,42,9,13255,12972,0,3976,10808,2502,0,574,0,33,0.0009517550816923112,0.00020394751750549525,0.6996306283849623
MAIN_Q25_M_P70,2016-10-31 07:15:00+08:00,75458,56538,24934,7543,1301,1301,21,21,8,18920,24402,0,7202,17391,6242,0,1280,0,13,0.000278300511542845,0.00010601924249251239,0.7492644915052082
MAIN_Q25_M_P70,2016-10-31 07:30:00+08:00,69043,46494,25540,12776,1784,1784,58,58,17,22549,14074,0,6880,12764,10992,0,1726,0,41,0.0008400561968628246,0.0002462233680460003,0.6734064278782788
MAIN_Q25_M_P70,2016-10-31 07:45:00+08:00,72149,45193,17161,10122,1289,1289,24,24,8,26956,17413,0,10619,7039,8833,0,1265,0,16,0.0003326449431038545,0.00011088164770128484,0.6263842880705207
MAIN_Q25_M_P70,2016-10-31 08:00:00+08:00,68896,46422,22088,11889,1410,1410,51,51,21,22474,16831,0,7503,10199,10479,0,1359,0,30,0.0007402461681374826,0.0003048072457036693,0.6737981885740827
MAIN_Q25_M_P70,2016-10-31 08:15:00+08:00,82993,56771,32417,20464,2314,2314,53,53,17,26222,17986,0,6368,11953,18150,0,2261,0,36,0.0006386080753798513,0.00020483655248032968,0.6840456424035762
MAIN_Q25_M_P70,2016-10-31 08:30:00+08:00,76754,48057,23470,13039,1549,1549,66,66,14,28697,14726,0,9861,10431,11490,0,1483,0,52,0.0008598900383041926,0.00018240091721604085,0.6261172056179483
MAIN_Q25_M_P70,2016-10-31 08:45:00+08:00,80724,53285,21273,11027,1626,1626,107,107,21,27439,24618,0,7394,10246,9401,0,1519,0,86,0.0013255041871066844,0.00026014568158168577,0.6600886972895298
MAIN_Q25_M_P70,2016-10-31 09:00:00+08:00,88432,60971,30167,19539,2452,2452,143,143,27,27461,17894,0,12910,10628,17087,0,2309,0,116,0.0016170616971232133,0.00030531934141487247,0.6894676135335626
MAIN_Q25_M_P70,2016-10-31 09:15:00+08:00,74783,48604,25933,14141,1669,1669,125,125,23,26179,13382,0,9289,11792,12472,0,1544,0,102,0.001671502881670968,0.00030755653022745814,0.6499338084858858
MAIN_Q25_M_P70,2016-10-31 09:30:00+08:00,59016,44092,25330,13035,1714,1714,154,154,21,14924,14296,0,4466,12295,11321,0,1560,0,133,0.0026094618408567167,0.00035583570557137046,0.7471194252406127
MAIN_Q25_M_P70,2016-10-31 09:45:00+08:00,55727,38717,19995,11416,1569,1569,131,131,29,17010,10431,0,8291,8579,9847,0,1438,0,102,0.002350745599081235,0.0005203940639187468,0.6947619645773144
MAIN_Q25_M_P70,2016-10-31 10:00:00+08:00,67059,45322,24008,12596,1432,1432,83,83,20,21737,13926,0,7388,11412,11164,0,1349,0,63,0.0012377160410981375,0.0002982448291802741,0.6758526074054191
