scenario_id,scenario_label,transition,entering_opportunities,retained_opportunities,retention_share,loss_share
MAIN_Q25_M_P70,"q=.25, p=.70",passenger,7069575,4830105,0.68322423908085,0.31677576091915005
MAIN_Q25_M_P70,"q=.25, p=.70",structure,4830105,2277178,0.4714551754050895,0.5285448245949105
MAIN_Q25_M_P70,"q=.25, p=.70",evidence,2277178,1188842,0.5220681035913749,0.4779318964086251
MAIN_Q25_M_P70,"q=.25, p=.70",shared Top-K,1188842,103060,0.0866894002735435,0.9133105997264566
MAIN_Q25_M_P70,"q=.25, p=.70",routing,103060,103060,1.0,0.0
MAIN_Q25_M_P70,"q=.25, p=.70",patience,103060,6638,0.06440908208810402,0.935590917911896
MAIN_Q25_M_P70,"q=.25, p=.70",other arc,6638,6638,1.0,0.0
MAIN_Q25_M_P70,"q=.25, p=.70",selection,6638,1187,0.17881892136185598,0.821181078638144
MAIN_Q50_M_P70,"q=.50, p=.70",passenger,19545797,13191194,0.6748864730356097,0.32511352696439033
MAIN_Q50_M_P70,"q=.50, p=.70",structure,13191194,5955172,0.4514505661883223,0.5485494338116776
MAIN_Q50_M_P70,"q=.50, p=.70",evidence,5955172,2814923,0.4726854236955708,0.5273145763044291
MAIN_Q50_M_P70,"q=.50, p=.70",shared Top-K,2814923,264045,0.09380185532606043,0.9061981446739396
MAIN_Q50_M_P70,"q=.50, p=.70",routing,264045,264045,1.0,0.0
MAIN_Q50_M_P70,"q=.50, p=.70",patience,264045,14074,0.053301520574144556,0.9466984794258555
MAIN_Q50_M_P70,"q=.50, p=.70",other arc,14074,14074,1.0,0.0
MAIN_Q50_M_P70,"q=.50, p=.70",selection,14074,2207,0.1568139832314907,0.8431860167685092
MAIN_Q75_M_P70,"q=.75, p=.70",passenger,42559860,28439434,0.6682219819332113,0.33177801806678875
MAIN_Q75_M_P70,"q=.75, p=.70",structure,28439434,12258531,0.43103990747495186,0.5689600925250482
MAIN_Q75_M_P70,"q=.75, p=.70",evidence,12258531,5220436,0.4258614674139993,0.5741385325860007
MAIN_Q75_M_P70,"q=.75, p=.70",shared Top-K,5220436,450395,0.08627536090855246,0.9137246390914475
MAIN_Q75_M_P70,"q=.75, p=.70",routing,450395,450395,1.0,0.0
MAIN_Q75_M_P70,"q=.75, p=.70",patience,450395,18933,0.04203643468510974,0.9579635653148902
MAIN_Q75_M_P70,"q=.75, p=.70",other arc,18933,18933,1.0,0.0
MAIN_Q75_M_P70,"q=.75, p=.70",selection,18933,3134,0.16553108329371996,0.83446891670628
BENCH_AV_M,"all AV, p=1.00",passenger,74470227,74470227,1.0,0.0
BENCH_AV_M,"all AV, p=1.00",structure,74470227,32242495,0.43295819415187226,0.5670418058481277
BENCH_AV_M,"all AV, p=1.00",evidence,32242495,13453855,0.41727090288763324,0.5827290971123668
BENCH_AV_M,"all AV, p=1.00",shared Top-K,13453855,1012556,0.07526140277266255,0.9247385972273374
BENCH_AV_M,"all AV, p=1.00",routing,1012556,1012556,1.0,0.0
BENCH_AV_M,"all AV, p=1.00",patience,1012556,27425,0.027084921722847922,0.9729150782771521
BENCH_AV_M,"all AV, p=1.00",other arc,27425,27425,1.0,0.0
BENCH_AV_M,"all AV, p=1.00",selection,27425,4545,0.1657247037374658,0.8342752962625342
