scenario_id,time_bin_start,gate_av_n0_spatial,gate_av_n1_passenger_compatible,gate_av_n2_structurally_ready,gate_av_n3_evidence_complete,gate_av_n3a_shared_topk,gate_av_n3b_route_returned,gate_av_n4_pickup_within_patience,gate_av_n5_solver_eligible,gate_av_n6_selected,gate_av_loss_acceptance,gate_av_loss_no_selected_route,gate_av_loss_hard_infeasible,gate_av_loss_hard_unknown,gate_av_loss_evidence_incomplete,gate_av_loss_shared_topk,gate_av_loss_routing_failure,gate_av_loss_patience,gate_av_loss_other_arc_condition,gate_av_loss_dispatch_competition
BENCH_AV_M,2016-10-31 00:00:00+08:00,85122,85122,20373,1204,460,460,343,343,23,0,46882,0,17867,19169,744,0,117,0,320
BENCH_AV_M,2016-10-31 00:15:00+08:00,219576,219576,63266,2026,740,740,596,596,37,0,106138,0,50172,61240,1286,0,144,0,559
BENCH_AV_M,2016-10-31 00:30:00+08:00,231963,231963,74353,4396,600,600,343,343,20,0,120075,0,37535,69957,3796,0,257,0,323
BENCH_AV_M,2016-10-31 00:45:00+08:00,220484,220484,55552,1087,400,400,342,342,20,0,99399,0,65533,54465,687,0,58,0,322
BENCH_AV_M,2016-10-31 01:00:00+08:00,160764,160764,67278,1952,560,560,340,340,24,0,59518,0,33968,65326,1392,0,220,0,316
BENCH_AV_M,2016-10-31 01:15:00+08:00,179181,179181,67846,2756,419,419,214,214,15,0,81964,0,29371,65090,2337,0,205,0,199
BENCH_AV_M,2016-10-31 01:30:00+08:00,139607,139607,31919,913,297,297,241,241,15,0,66205,0,41483,31006,616,0,56,0,226
BENCH_AV_M,2016-10-31 01:45:00+08:00,103056,103056,20540,540,218,218,127,127,11,0,55921,0,26595,20000,322,0,91,0,116
BENCH_AV_M,2016-10-31 02:00:00+08:00,135030,135030,33509,804,313,313,249,249,16,0,69903,0,31618,32705,491,0,64,0,233
BENCH_AV_M,2016-10-31 02:15:00+08:00,97850,97850,24229,928,300,300,219,219,15,0,37985,0,35636,23301,628,0,81,0,204
BENCH_AV_M,2016-10-31 02:30:00+08:00,91613,91613,43583,3831,320,320,70,70,6,0,24946,0,23084,39752,3511,0,250,0,64
BENCH_AV_M,2016-10-31 02:45:00+08:00,85942,85942,29279,342,118,118,74,74,6,0,31972,0,24691,28937,224,0,44,0,68
BENCH_AV_M,2016-10-31 03:00:00+08:00,113952,113952,31965,521,220,220,178,178,11,0,59154,0,22833,31444,301,0,42,0,167
BENCH_AV_M,2016-10-31 03:15:00+08:00,74547,74547,12574,374,139,139,105,105,7,0,46342,0,15631,12200,235,0,34,0,98
BENCH_AV_M,2016-10-31 03:30:00+08:00,52234,52234,11111,208,100,100,87,87,5,0,29674,0,11449,10903,108,0,13,0,82
BENCH_AV_M,2016-10-31 03:45:00+08:00,91293,91293,21277,324,120,120,102,102,6,0,49144,0,20872,20953,204,0,18,0,96
BENCH_AV_M,2016-10-31 04:00:00+08:00,51929,51929,2351,90,40,40,35,35,2,0,29218,0,20360,2261,50,0,5,0,33
BENCH_AV_M,2016-10-31 04:15:00+08:00,44275,44275,218,218,115,115,76,76,6,0,31354,0,12703,0,103,0,39,0,70
