scenario_id,time_bin_start,gate_av_n0_spatial,gate_av_n1_passenger_compatible,gate_av_n2_structurally_ready,gate_av_n3_evidence_complete,gate_av_n3a_shared_topk,gate_av_n3b_route_returned,gate_av_n4_pickup_within_patience,gate_av_n5_solver_eligible,gate_av_n6_selected,gate_av_loss_acceptance,gate_av_loss_no_selected_route,gate_av_loss_hard_infeasible,gate_av_loss_hard_unknown,gate_av_loss_evidence_incomplete,gate_av_loss_shared_topk,gate_av_loss_routing_failure,gate_av_loss_patience,gate_av_loss_other_arc_condition,gate_av_loss_dispatch_competition
MAIN_Q25_M_P70,2016-10-31 00:00:00+08:00,10758,5867,2194,365,283,283,189,189,18,4891,3453,0,220,1829,82,0,94,0,171
MAIN_Q25_M_P70,2016-10-31 00:15:00+08:00,25106,17389,3880,388,337,337,214,214,22,7717,8648,0,4861,3492,51,0,123,0,192
MAIN_Q25_M_P70,2016-10-31 00:30:00+08:00,20097,12054,1751,227,195,195,108,108,15,8043,6873,0,3430,1524,32,0,87,0,93
MAIN_Q25_M_P70,2016-10-31 00:45:00+08:00,21740,16740,4608,202,168,168,97,97,9,5000,7354,0,4778,4406,34,0,71,0,88
MAIN_Q25_M_P70,2016-10-31 01:00:00+08:00,22538,15404,6782,328,203,203,91,91,12,7134,4407,0,4215,6454,125,0,112,0,79
MAIN_Q25_M_P70,2016-10-31 01:15:00+08:00,21911,17835,5993,804,237,237,116,116,10,4076,9228,0,2614,5189,567,0,121,0,106
MAIN_Q25_M_P70,2016-10-31 01:30:00+08:00,18914,10798,2448,111,103,103,50,50,5,8116,4489,0,3861,2337,8,0,53,0,45
MAIN_Q25_M_P70,2016-10-31 01:45:00+08:00,7703,5634,276,154,122,122,74,74,9,2069,3759,0,1599,122,32,0,48,0,65
MAIN_Q25_M_P70,2016-10-31 02:00:00+08:00,18171,12371,3021,181,165,165,96,96,11,5800,7471,0,1879,2840,16,0,69,0,85
MAIN_Q25_M_P70,2016-10-31 02:15:00+08:00,11367,9655,3017,208,180,180,102,102,12,1712,3454,0,3184,2809,28,0,78,0,90
MAIN_Q25_M_P70,2016-10-31 02:30:00+08:00,10122,5438,2432,72,65,65,26,26,5,4684,1794,0,1212,2360,7,0,39,0,21
MAIN_Q25_M_P70,2016-10-31 02:45:00+08:00,12962,7889,1488,98,79,79,47,47,4,5073,4132,0,2269,1390,19,0,32,0,43
MAIN_Q25_M_P70,2016-10-31 03:00:00+08:00,16375,11010,2819,810,219,219,63,63,6,5365,7531,0,660,2009,591,0,156,0,57
MAIN_Q25_M_P70,2016-10-31 03:15:00+08:00,10374,9216,1036,106,95,95,40,40,4,1158,6485,0,1695,930,11,0,55,0,36
MAIN_Q25_M_P70,2016-10-31 03:30:00+08:00,9614,6881,1325,65,62,62,49,49,3,2733,4840,0,716,1260,3,0,13,0,46
MAIN_Q25_M_P70,2016-10-31 03:45:00+08:00,14588,8496,1776,89,70,70,42,42,5,6092,4661,0,2059,1687,19,0,28,0,37
MAIN_Q25_M_P70,2016-10-31 04:00:00+08:00,6588,3749,17,17,17,17,9,9,1,2839,988,0,2744,0,0,0,8,0,8
MAIN_Q25_M_P70,2016-10-31 04:15:00+08:00,3025,2025,77,77,77,77,39,39,5,1000,1150,0,798,0,0,0,38,0,34
MAIN_Q25_M_P70,2016-10-31 04:30:00+08:00,5911,3899,3122,98,93,93,44,44,2,2012,730,0,47,3024,5,0,49,0,42
MAIN_Q25_M_P70,2016-10-31 04:45:00+08:00,8959,5805,1829,715,185,185,24,24,3,3154,2529,0,1447,1114,530,0,161,0,21
MAIN_Q25_M_P70,2016-10-31 05:00:00+08:00,8528,8230,930,107,105,105,46,46,5,298,5027,0,2273,823,2,0,59,0,41
MAIN_Q25_M_P70,2016-10-31 05:15:00+08:00,6551,4175,68,58,58,58,26,26,3,2376,1216,0,2891,10,0,0,32,0,23
