epoch_id,period,physical_state_sha256,gate,E,U,M,delta_E,delta_U,delta_M
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,G0_SPATIAL,6816,55,55,0,0,0
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,G1_PASSENGER,4675,36,36,2141,19,19
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,G2_STRUCTURAL,2241,18,18,2434,18,18
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,G3_EVIDENCE,1126,9,9,1115,9,9
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,TOPK_COMPRESSION,136,9,9,990,0,0
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,ROUTE_RETURNED,136,9,9,0,0,0
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,G4_PATIENCE,16,2,2,120,7,7
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,G5_SOLVER,16,2,2,0,0,0
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,G0_SPATIAL,8422,67,67,0,0,0
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,G1_PASSENGER,5734,44,44,2688,23,23
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,G2_STRUCTURAL,2365,20,20,3369,24,24
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,G3_EVIDENCE,1397,12,12,968,8,8
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,TOPK_COMPRESSION,176,12,12,1221,0,0
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,ROUTE_RETURNED,176,12,12,0,0,0
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,G4_PATIENCE,3,1,1,173,11,11
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,G5_SOLVER,3,1,1,0,0,0
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,G0_SPATIAL,9088,76,76,0,0,0
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,G1_PASSENGER,5480,50,50,3608,26,26
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,G2_STRUCTURAL,2815,26,26,2665,24,24
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,G3_EVIDENCE,1434,14,14,1381,12,12
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,TOPK_COMPRESSION,178,14,14,1256,0,0
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,ROUTE_RETURNED,178,14,14,0,0,0
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,G4_PATIENCE,9,4,4,169,10,10
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,G5_SOLVER,9,4,4,0,0,0
