epoch_id,period,physical_state_sha256,K,E,U,M
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,10,10,2,2
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,20,16,2,2
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,40,16,2,2
0730,MORNING_PEAK,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,80,16,2,2
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,10,1,1,1
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,20,3,1,1
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,40,5,1,1
0830,MORNING_PEAK,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,80,5,1,1
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,10,9,4,4
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,20,9,4,4
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,40,9,4,4
1200,MIDDAY,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,80,14,4,4
1300,MIDDAY,50b8e9abe49a9d288dadbd01a42b17c5c39b90f0fa47e18a9d10fdc57e05eb24,10,6,1,1
1300,MIDDAY,50b8e9abe49a9d288dadbd01a42b17c5c39b90f0fa47e18a9d10fdc57e05eb24,20,6,1,1
1300,MIDDAY,50b8e9abe49a9d288dadbd01a42b17c5c39b90f0fa47e18a9d10fdc57e05eb24,40,6,1,1
1300,MIDDAY,50b8e9abe49a9d288dadbd01a42b17c5c39b90f0fa47e18a9d10fdc57e05eb24,80,6,1,1
1700,EVENING_PEAK,af342c861f454a098c7946c41d23ae19cc4833e496abd38fda1466e22bf10d4f,10,0,0,0
1700,EVENING_PEAK,af342c861f454a098c7946c41d23ae19cc4833e496abd38fda1466e22bf10d4f,20,0,0,0
1700,EVENING_PEAK,af342c861f454a098c7946c41d23ae19cc4833e496abd38fda1466e22bf10d4f,40,0,0,0
1700,EVENING_PEAK,af342c861f454a098c7946c41d23ae19cc4833e496abd38fda1466e22bf10d4f,80,0,0,0
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,10,3,1,1
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,20,3,1,1
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,40,3,1,1
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,80,3,1,1
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,10,0,0,0
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,20,0,0,0
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,40,0,0,0
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,80,0,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,10,0,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,20,0,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,40,0,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,80,0,0,0
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,10,8,2,2
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,20,10,2,2
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,40,10,2,2
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,80,10,2,2
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,10,1,1,1
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,20,1,1,1
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,40,1,1,1
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,80,1,1,1
