epoch_id,variant,physical_state_sha256,E,U,M,candidate_identity,candidate_sha256,selected_count,selected_identity,selected_sha256,pickup_objective_s,candidate_graph_identical,assignment_identical
0730,HV_ORIGINAL,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,109,25,24,"[[1788, 4266], [1788, 4362], [1794, 4266], [1794, 4362], [1799, 4441], [1800, 4201], [1800, 4210], [1803, 4440], [1810, 4311], [1810, 4318], [1810, 4392], [1812, 4194], [1812, 4209], [1812, 4234], [1812, 4235], [1812, 4250], [1812, 4261], [1812, 4270], [1812, 4319], [1812, 4342], [1812, 4344], [1812, 4361], [1812, 4407], [1812, 4418], [1812, 4432], [1817, 4190], [1817, 4193], [1817, 4211], [1817, 4214], [1817, 4254], [1817, 4313], [1817, 4357], [1817, 4364], [1817, 4383], [1818, 4195], [1818, 4207], [1818, 4240], [1818, 4252], [1818, 4285], [1818, 4293], [1818, 4300], [1818, 4365], [1818, 4403], [1818, 4408], [1823, 4362], [1824, 4190], [1824, 4193], [1824, 4313], [1824, 4323], [1824, 4357], [1825, 4220], [1829, 4327], [1830, 407], [1830, 4241], [1830, 4242], [1830, 4287], [1830, 4317], [1830, 4379], [1830, 4402], [1830, 4419], [1831, 4188], [1831, 4198], [1832, 4373], [1833, 4190], [1833, 4193], [1833, 4310], [1833, 4313], [1833, 4323], [1833, 4357], [1834, 261], [1834, 4426], [1835, 258], [1835, 4306], [1836, 325], [1836, 395], [1836, 4205], [1836, 4216], [1836, 4237], [1836, 4257], [1836, 4277], [1836, 4290], [1836, 4312], [1836, 4388], [1836, 4422], [1836, 4424], [1836, 4427], [1836, 4431], [1836, 4433], [1836, 4435], [1836, 4437], [1837, 4195], [1837, 4207], [1837, 4240], [1837, 4252], [1837, 4285], [1837, 4293], [1837, 4300], [1837, 4365], [1837, 4403], [1837, 4408], [1839, 4404], [1840, 4223], [1841, 190], [1841, 209], [1841, 288], [1841, 312], [1841, 329], [1841, 4251], [1842, 4295]]",5fc53e0a5a4d3ff360486ba81459a7389235582bd5641b8204a84c5d769bedca,24,"[[1788, 4362], [1794, 4266], [1799, 4441], [1800, 4201], [1803, 4440], [1810, 4318], [1812, 4234], [1817, 4313], [1818, 4240], [1824, 4357], [1825, 4220], [1829, 4327], [1830, 4379], [1831, 4198], [1832, 4373], [1833, 4323], [1834, 261], [1835, 4306], [1836, 4437], [1837, 4207], [1839, 4404], [1840, 4223], [1841, 312], [1842, 4295]]",7b7b04f8a5100afcf9ce820b3eb12dc6e989f3e4e09be4580c4ad9c50d1bc0e6,2814.4939407517645,True,True
0730,AV_NEUTRAL,4ed0e2fba8c6130471b3c682e154159db10bc296eae1c37e61c462a81d4f221a,109,25,24,"[[1788, 4266], [1788, 4362], [1794, 4266], [1794, 4362], [1799, 4441], [1800, 4201], [1800, 4210], [1803, 4440], [1810, 4311], [1810, 4318], [1810, 4392], [1812, 4194], [1812, 4209], [1812, 4234], [1812, 4235], [1812, 4250], [1812, 4261], [1812, 4270], [1812, 4319], [1812, 4342], [1812, 4344], [1812, 4361], [1812, 4407], [1812, 4418], [1812, 4432], [1817, 4190], [1817, 4193], [1817, 4211], [1817, 4214], [1817, 4254], [1817, 4313], [1817, 4357], [1817, 4364], [1817, 4383], [1818, 4195], [1818, 4207], [1818, 4240], [1818, 4252], [1818, 4285], [1818, 4293], [1818, 4300], [1818, 4365], [1818, 4403], [1818, 4408], [1823, 4362], [1824, 4190], [1824, 4193], [1824, 4313], [1824, 4323], [1824, 4357], [1825, 4220], [1829, 4327], [1830, 407], [1830, 4241], [1830, 4242], [1830, 4287], [1830, 4317], [1830, 4379], [1830, 4402], [1830, 4419], [1831, 4188], [1831, 4198], [1832, 4373], [1833, 4190], [1833, 4193], [1833, 4310], [1833, 4313], [1833, 4323], [1833, 4357], [1834, 261], [1834, 4426], [1835, 258], [1835, 4306], [1836, 325], [1836, 395], [1836, 4205], [1836, 4216], [1836, 4237], [1836, 4257], [1836, 4277], [1836, 4290], [1836, 4312], [1836, 4388], [1836, 4422], [1836, 4424], [1836, 4427], [1836, 4431], [1836, 4433], [1836, 4435], [1836, 4437], [1837, 4195], [1837, 4207], [1837, 4240], [1837, 4252], [1837, 4285], [1837, 4293], [1837, 4300], [1837, 4365], [1837, 4403], [1837, 4408], [1839, 4404], [1840, 4223], [1841, 190], [1841, 209], [1841, 288], [1841, 312], [1841, 329], [1841, 4251], [1842, 4295]]",5fc53e0a5a4d3ff360486ba81459a7389235582bd5641b8204a84c5d769bedca,24,"[[1788, 4362], [1794, 4266], [1799, 4441], [1800, 4201], [1803, 4440], [1810, 4318], [1812, 4234], [1817, 4313], [1818, 4240], [1824, 4357], [1825, 4220], [1829, 4327], [1830, 4379], [1831, 4198], [1832, 4373], [1833, 4323], [1834, 261], [1835, 4306], [1836, 4437], [1837, 4207], [1839, 4404], [1840, 4223], [1841, 312], [1842, 4295]]",7b7b04f8a5100afcf9ce820b3eb12dc6e989f3e4e09be4580c4ad9c50d1bc0e6,2814.4939407517645,True,True
0830,HV_ORIGINAL,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,90,22,21,"[[2890, 4190], [2890, 4193], [2890, 4313], [2890, 4357], [2905, 4281], [2905, 4298], [2905, 4299], [2905, 4334], [2905, 4347], [2905, 4434], [2906, 4371], [2910, 4190], [2910, 4193], [2928, 4362], [2933, 4246], [2933, 4247], [2933, 4268], [2933, 4289], [2935, 4248], [2935, 4362], [2937, 4255], [2937, 4273], [2937, 4281], [2937, 4298], [2937, 4299], [2937, 4334], [2937, 4347], [2937, 4387], [2937, 4393], [2937, 4401], [2937, 4411], [2937, 4434], [2937, 4436], [2939, 4188], [2939, 4192], [2945, 4390], [2947, 4188], [2947, 4192], [2957, 586], [2957, 4219], [2957, 4224], [2957, 4284], [2957, 4314], [2957, 4366], [2957, 4395], [2958, 4321], [2959, 4230], [2959, 4278], [2959, 4362], [2959, 4397], [2961, 4330], [2961, 4353], [2961, 4371], [2962, 4196], [2963, 4263], [2963, 4307], [2963, 4414], [2964, 4246], [2964, 4247], [2964, 4256], [2964, 4268], [2964, 4289], [2964, 4305], [2964, 4327], [2964, 4329], [2964, 4363], [2966, 4248], [2967, 4296], [2968, 342], [2968, 463], [2968, 4199], [2969, 4194], [2969, 4209], [2969, 4235], [2969, 4250], [2969, 4261], [2969, 4262], [2969, 4263], [2969, 4270], [2969, 4280], [2969, 4319], [2969, 4338], [2969, 4342], [2969, 4344], [2969, 4361], [2969, 4399], [2969, 4407], [2969, 4418], [2969, 4426], [2969, 4432]]",93594f92f9ff61bfcddbf7ab3a042447657a33bad57199d2f9069363b9eaa430,21,"[[2890, 4357], [2905, 4299], [2906, 4371], [2910, 4190], [2928, 4362], [2933, 4246], [2935, 4248], [2937, 4411], [2939, 4188], [2945, 4390], [2947, 4192], [2957, 4395], [2958, 4321], [2959, 4230], [2961, 4353], [2962, 4196], [2963, 4414], [2964, 4289], [2967, 4296], [2968, 342], [2969, 4426]]",ff08d41223787d0daadb07ca27c16d47e59a48aa132de90501f904aab50dd4cd,2812.9608671698375,True,True
0830,AV_NEUTRAL,20de263e3d613c19c2c47758ba3f925e9c493b3494a1df302a635a19ea099db8,90,22,21,"[[2890, 4190], [2890, 4193], [2890, 4313], [2890, 4357], [2905, 4281], [2905, 4298], [2905, 4299], [2905, 4334], [2905, 4347], [2905, 4434], [2906, 4371], [2910, 4190], [2910, 4193], [2928, 4362], [2933, 4246], [2933, 4247], [2933, 4268], [2933, 4289], [2935, 4248], [2935, 4362], [2937, 4255], [2937, 4273], [2937, 4281], [2937, 4298], [2937, 4299], [2937, 4334], [2937, 4347], [2937, 4387], [2937, 4393], [2937, 4401], [2937, 4411], [2937, 4434], [2937, 4436], [2939, 4188], [2939, 4192], [2945, 4390], [2947, 4188], [2947, 4192], [2957, 586], [2957, 4219], [2957, 4224], [2957, 4284], [2957, 4314], [2957, 4366], [2957, 4395], [2958, 4321], [2959, 4230], [2959, 4278], [2959, 4362], [2959, 4397], [2961, 4330], [2961, 4353], [2961, 4371], [2962, 4196], [2963, 4263], [2963, 4307], [2963, 4414], [2964, 4246], [2964, 4247], [2964, 4256], [2964, 4268], [2964, 4289], [2964, 4305], [2964, 4327], [2964, 4329], [2964, 4363], [2966, 4248], [2967, 4296], [2968, 342], [2968, 463], [2968, 4199], [2969, 4194], [2969, 4209], [2969, 4235], [2969, 4250], [2969, 4261], [2969, 4262], [2969, 4263], [2969, 4270], [2969, 4280], [2969, 4319], [2969, 4338], [2969, 4342], [2969, 4344], [2969, 4361], [2969, 4399], [2969, 4407], [2969, 4418], [2969, 4426], [2969, 4432]]",93594f92f9ff61bfcddbf7ab3a042447657a33bad57199d2f9069363b9eaa430,21,"[[2890, 4357], [2905, 4299], [2906, 4371], [2910, 4190], [2928, 4362], [2933, 4246], [2935, 4248], [2937, 4411], [2939, 4188], [2945, 4390], [2947, 4192], [2957, 4395], [2958, 4321], [2959, 4230], [2961, 4353], [2962, 4196], [2963, 4414], [2964, 4289], [2967, 4296], [2968, 342], [2969, 4426]]",ff08d41223787d0daadb07ca27c16d47e59a48aa132de90501f904aab50dd4cd,2812.9608671698375,True,True
1200,HV_ORIGINAL,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,97,30,24,"[[8679, 4302], [8705, 4279], [8723, 4264], [8723, 4408], [8738, 4206], [8738, 4271], [8738, 4409], [8738, 4413], [8738, 4443], [8740, 4373], [8740, 4407], [8755, 4194], [8755, 4373], [8755, 4407], [8756, 4279], [8758, 4194], [8797, 4363], [8798, 4220], [8798, 4301], [8798, 4307], [8798, 4329], [8798, 4372], [8798, 4385], [8798, 4423], [8799, 4279], [8800, 4327], [8802, 4411], [8803, 4373], [8803, 4407], [8804, 4243], [8804, 4268], [8804, 4428], [8805, 4326], [8806, 4243], [8806, 4268], [8806, 4283], [8806, 4428], [8808, 4205], [8808, 4268], [8808, 4290], [8808, 4435], [8809, 4243], [8809, 4279], [8809, 4428], [8810, 4194], [8810, 4279], [8810, 4373], [8810, 4407], [8811, 768], [8811, 1056], [8811, 1142], [8811, 1156], [8811, 1300], [8811, 1409], [8811, 1480], [8811, 4196], [8811, 4327], [8812, 4209], [8812, 4220], [8812, 4257], [8812, 4262], [8812, 4263], [8812, 4301], [8812, 4307], [8812, 4319], [8812, 4329], [8812, 4342], [8812, 4344], [8812, 4361], [8812, 4372], [8812, 4385], [8812, 4399], [8812, 4423], [8813, 4206], [8813, 4247], [8813, 4250], [8813, 4256], [8813, 4271], [8813, 4289], [8813, 4308], [8813, 4381], [8813, 4404], [8813, 4413], [8813, 4414], [8813, 4443], [8814, 4382], [8815, 4411], [8816, 4284], [8816, 4296], [8817, 712], [8817, 1449], [8818, 4279], [8819, 4200], [8819, 4225], [8819, 4358], [8819, 4367], [8820, 4232]]",99e61c4b2c230f5adfb60f23d33321f7489412f2f358a4b7289e4a12ee4ed288,24,"[[8679, 4302], [8705, 4279], [8723, 4408], [8738, 4413], [8740, 4373], [8755, 4407], [8758, 4194], [8797, 4363], [8798, 4329], [8800, 4327], [8804, 4243], [8805, 4326], [8806, 4268], [8808, 4205], [8809, 4428], [8811, 1480], [8812, 4220], [8813, 4247], [8814, 4382], [8815, 4411], [8816, 4284], [8817, 1449], [8819, 4225], [8820, 4232]]",1ce8c581b96c9864a7117690025e1b6c0544208e3e0913e6e7098108c04f7b73,3252.6533264887576,True,True
1200,AV_NEUTRAL,a0a9fb93d6f39494cf4a3b6d822e110b193679b5882f78f6cd224ad3fc4d1d59,97,30,24,"[[8679, 4302], [8705, 4279], [8723, 4264], [8723, 4408], [8738, 4206], [8738, 4271], [8738, 4409], [8738, 4413], [8738, 4443], [8740, 4373], [8740, 4407], [8755, 4194], [8755, 4373], [8755, 4407], [8756, 4279], [8758, 4194], [8797, 4363], [8798, 4220], [8798, 4301], [8798, 4307], [8798, 4329], [8798, 4372], [8798, 4385], [8798, 4423], [8799, 4279], [8800, 4327], [8802, 4411], [8803, 4373], [8803, 4407], [8804, 4243], [8804, 4268], [8804, 4428], [8805, 4326], [8806, 4243], [8806, 4268], [8806, 4283], [8806, 4428], [8808, 4205], [8808, 4268], [8808, 4290], [8808, 4435], [8809, 4243], [8809, 4279], [8809, 4428], [8810, 4194], [8810, 4279], [8810, 4373], [8810, 4407], [8811, 768], [8811, 1056], [8811, 1142], [8811, 1156], [8811, 1300], [8811, 1409], [8811, 1480], [8811, 4196], [8811, 4327], [8812, 4209], [8812, 4220], [8812, 4257], [8812, 4262], [8812, 4263], [8812, 4301], [8812, 4307], [8812, 4319], [8812, 4329], [8812, 4342], [8812, 4344], [8812, 4361], [8812, 4372], [8812, 4385], [8812, 4399], [8812, 4423], [8813, 4206], [8813, 4247], [8813, 4250], [8813, 4256], [8813, 4271], [8813, 4289], [8813, 4308], [8813, 4381], [8813, 4404], [8813, 4413], [8813, 4414], [8813, 4443], [8814, 4382], [8815, 4411], [8816, 4284], [8816, 4296], [8817, 712], [8817, 1449], [8818, 4279], [8819, 4200], [8819, 4225], [8819, 4358], [8819, 4367], [8820, 4232]]",99e61c4b2c230f5adfb60f23d33321f7489412f2f358a4b7289e4a12ee4ed288,24,"[[8679, 4302], [8705, 4279], [8723, 4408], [8738, 4413], [8740, 4373], [8755, 4407], [8758, 4194], [8797, 4363], [8798, 4329], [8800, 4327], [8804, 4243], [8805, 4326], [8806, 4268], [8808, 4205], [8809, 4428], [8811, 1480], [8812, 4220], [8813, 4247], [8814, 4382], [8815, 4411], [8816, 4284], [8817, 1449], [8819, 4225], [8820, 4232]]",1ce8c581b96c9864a7117690025e1b6c0544208e3e0913e6e7098108c04f7b73,3252.6533264887576,True,True
1300,HV_ORIGINAL,50b8e9abe49a9d288dadbd01a42b17c5c39b90f0fa47e18a9d10fdc57e05eb24,71,23,21,"[[10328, 4325], [10328, 4348], [10328, 4416], [10335, 4209], [10335, 4319], [10335, 4342], [10335, 4358], [10335, 4399], [10338, 4325], [10338, 4348], [10338, 4416], [10339, 4227], [10339, 4330], [10355, 4378], [10363, 4344], [10375, 4227], [10375, 4330], [10393, 4257], [10393, 4279], [10393, 4344], [10393, 4413], [10411, 4378], [10411, 4441], [10416, 4343], [10416, 4350], [10418, 4195], [10418, 4204], [10418, 4227], [10418, 4330], [10418, 4377], [10419, 4269], [10419, 4292], [10419, 4343], [10419, 4349], [10419, 4350], [10419, 4400], [10420, 4367], [10421, 4224], [10422, 4204], [10422, 4227], [10422, 4330], [10423, 1463], [10423, 1541], [10424, 713], [10424, 1452], [10424, 4308], [10424, 4321], [10424, 4423], [10425, 4204], [10425, 4227], [10425, 4330], [10426, 4224], [10427, 4257], [10427, 4279], [10427, 4295], [10427, 4344], [10427, 4413], [10427, 4414], [10428, 1383], [10428, 1606], [10428, 1635], [10428, 1657], [10428, 4256], [10428, 4289], [10428, 4327], [10428, 4439], [10429, 4325], [10429, 4348], [10430, 4246], [10430, 4252], [10430, 4300]]",c013b7bdd0db0bbd4759a848fe47ed2e9e89e55b7de49404c89a550d2aefc9fe,21,"[[10328, 4325], [10335, 4209], [10338, 4416], [10339, 4227], [10355, 4378], [10363, 4344], [10375, 4330], [10393, 4413], [10411, 4441], [10416, 4343], [10418, 4377], [10419, 4400], [10420, 4367], [10422, 4204], [10423, 1463], [10424, 1452], [10426, 4224], [10427, 4295], [10428, 1606], [10429, 4348], [10430, 4246]]",105945ae16ac72aeab39c1c23c90b6e516a795e0ecf262acaf6025007bcacec6,2475.8518003422896,True,True
1300,AV_NEUTRAL,50b8e9abe49a9d288dadbd01a42b17c5c39b90f0fa47e18a9d10fdc57e05eb24,71,23,21,"[[10328, 4325], [10328, 4348], [10328, 4416], [10335, 4209], [10335, 4319], [10335, 4342], [10335, 4358], [10335, 4399], [10338, 4325], [10338, 4348], [10338, 4416], [10339, 4227], [10339, 4330], [10355, 4378], [10363, 4344], [10375, 4227], [10375, 4330], [10393, 4257], [10393, 4279], [10393, 4344], [10393, 4413], [10411, 4378], [10411, 4441], [10416, 4343], [10416, 4350], [10418, 4195], [10418, 4204], [10418, 4227], [10418, 4330], [10418, 4377], [10419, 4269], [10419, 4292], [10419, 4343], [10419, 4349], [10419, 4350], [10419, 4400], [10420, 4367], [10421, 4224], [10422, 4204], [10422, 4227], [10422, 4330], [10423, 1463], [10423, 1541], [10424, 713], [10424, 1452], [10424, 4308], [10424, 4321], [10424, 4423], [10425, 4204], [10425, 4227], [10425, 4330], [10426, 4224], [10427, 4257], [10427, 4279], [10427, 4295], [10427, 4344], [10427, 4413], [10427, 4414], [10428, 1383], [10428, 1606], [10428, 1635], [10428, 1657], [10428, 4256], [10428, 4289], [10428, 4327], [10428, 4439], [10429, 4325], [10429, 4348], [10430, 4246], [10430, 4252], [10430, 4300]]",c013b7bdd0db0bbd4759a848fe47ed2e9e89e55b7de49404c89a550d2aefc9fe,21,"[[10328, 4325], [10335, 4209], [10338, 4416], [10339, 4227], [10355, 4378], [10363, 4344], [10375, 4330], [10393, 4413], [10411, 4441], [10416, 4343], [10418, 4377], [10419, 4400], [10420, 4367], [10422, 4204], [10423, 1463], [10424, 1452], [10426, 4224], [10427, 4295], [10428, 1606], [10429, 4348], [10430, 4246]]",105945ae16ac72aeab39c1c23c90b6e516a795e0ecf262acaf6025007bcacec6,2475.8518003422896,True,True
1700,HV_ORIGINAL,af342c861f454a098c7946c41d23ae19cc4833e496abd38fda1466e22bf10d4f,88,15,14,"[[17981, 4409], [17984, 4281], [17984, 4334], [17984, 4345], [17984, 4347], [17984, 4356], [17984, 4360], [17984, 4390], [17984, 4391], [17984, 4417], [17984, 4420], [17984, 4431], [17984, 4434], [17990, 4281], [17990, 4334], [17990, 4345], [17990, 4347], [17990, 4356], [17990, 4360], [17990, 4390], [17990, 4391], [17990, 4417], [17990, 4420], [17990, 4431], [17990, 4434], [17993, 4281], [17993, 4334], [17993, 4345], [17993, 4347], [17993, 4356], [17993, 4360], [17993, 4390], [17993, 4391], [17993, 4417], [17993, 4420], [17993, 4431], [17993, 4434], [18026, 4266], [18032, 4273], [18032, 4281], [18032, 4302], [18032, 4334], [18032, 4345], [18032, 4347], [18032, 4356], [18032, 4360], [18032, 4387], [18032, 4390], [18032, 4391], [18032, 4401], [18032, 4417], [18032, 4420], [18032, 4431], [18032, 4434], [18034, 4273], [18034, 4281], [18034, 4302], [18034, 4334], [18034, 4345], [18034, 4347], [18034, 4356], [18034, 4360], [18034, 4387], [18034, 4390], [18034, 4391], [18034, 4393], [18034, 4401], [18034, 4417], [18034, 4420], [18034, 4431], [18034, 4434], [18034, 4436], [18046, 4249], [18046, 4261], [18047, 4234], [18047, 4399], [18054, 4224], [18059, 4224], [18059, 4266], [18061, 4209], [18061, 4249], [18061, 4309], [18061, 4321], [18062, 4349], [18064, 2136], [18064, 2307], [18064, 2380], [18068, 4234]]",e266848aa1623b5c4496610b8fcd64525f85fa23909dd9963d38ad47161579d8,14,"[[17981, 4409], [17984, 4356], [17990, 4347], [17993, 4345], [18026, 4266], [18032, 4390], [18034, 4434], [18046, 4261], [18047, 4399], [18054, 4224], [18061, 4249], [18062, 4349], [18064, 2380], [18068, 4234]]",4f8e6c79182ee6aae89edc96f754a18069258a034ca6cbcb450f8324da97090a,1688.017775719448,True,True
1700,AV_NEUTRAL,af342c861f454a098c7946c41d23ae19cc4833e496abd38fda1466e22bf10d4f,88,15,14,"[[17981, 4409], [17984, 4281], [17984, 4334], [17984, 4345], [17984, 4347], [17984, 4356], [17984, 4360], [17984, 4390], [17984, 4391], [17984, 4417], [17984, 4420], [17984, 4431], [17984, 4434], [17990, 4281], [17990, 4334], [17990, 4345], [17990, 4347], [17990, 4356], [17990, 4360], [17990, 4390], [17990, 4391], [17990, 4417], [17990, 4420], [17990, 4431], [17990, 4434], [17993, 4281], [17993, 4334], [17993, 4345], [17993, 4347], [17993, 4356], [17993, 4360], [17993, 4390], [17993, 4391], [17993, 4417], [17993, 4420], [17993, 4431], [17993, 4434], [18026, 4266], [18032, 4273], [18032, 4281], [18032, 4302], [18032, 4334], [18032, 4345], [18032, 4347], [18032, 4356], [18032, 4360], [18032, 4387], [18032, 4390], [18032, 4391], [18032, 4401], [18032, 4417], [18032, 4420], [18032, 4431], [18032, 4434], [18034, 4273], [18034, 4281], [18034, 4302], [18034, 4334], [18034, 4345], [18034, 4347], [18034, 4356], [18034, 4360], [18034, 4387], [18034, 4390], [18034, 4391], [18034, 4393], [18034, 4401], [18034, 4417], [18034, 4420], [18034, 4431], [18034, 4434], [18034, 4436], [18046, 4249], [18046, 4261], [18047, 4234], [18047, 4399], [18054, 4224], [18059, 4224], [18059, 4266], [18061, 4209], [18061, 4249], [18061, 4309], [18061, 4321], [18062, 4349], [18064, 2136], [18064, 2307], [18064, 2380], [18068, 4234]]",e266848aa1623b5c4496610b8fcd64525f85fa23909dd9963d38ad47161579d8,14,"[[17981, 4409], [17984, 4356], [17990, 4347], [17993, 4345], [18026, 4266], [18032, 4390], [18034, 4434], [18046, 4261], [18047, 4399], [18054, 4224], [18061, 4249], [18062, 4349], [18064, 2380], [18068, 4234]]",4f8e6c79182ee6aae89edc96f754a18069258a034ca6cbcb450f8324da97090a,1688.017775719448,True,True
