q_A,scenario_id,timestamp,period,rt_variant,physical_state_sha256,available_vehicles,available_AV,waiting_orders,imminently_expiring_orders,remaining_patience_mean_s,av_option_orders,maximum_AV_matching,patience_M_retention,patience_U_retention,patience_E_retention,selected_assignment_count,expired_orders,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,CANONICAL_ZERO_LEAD,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,335,235,76,8,188.67105263157896,4,4,0.2857142857142857,0.2857142857142857,0.05056179775280899,,,9088,76,76,5480,50,50,2815,26,26,1434,14,14,178,14,14,178,14,14,9,4,4,9,4,4
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,RT-Low,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,335,235,136,6,165.1948553308824,9,9,0.25,0.25,0.06187624750499002,,,18571,136,136,13131,94,94,7497,57,57,4947,36,36,501,36,36,501,36,36,31,9,9,31,9,9
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,RT-Base,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,335,235,136,17,140.05209807352972,7,7,0.25925925925925924,0.25925925925925924,0.07754010695187166,,,21247,136,136,14657,97,97,7558,47,47,3893,27,27,374,27,27,374,27,27,29,7,7,29,7,7
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T12:00:00+08:00,NORMAL,RT-High,a6e880ed83e68611997e8ceb8ac8df1df9f9504bb26a621ca3872dccb46eb54d,335,235,153,15,151.2148453137258,10,10,0.2777777777777778,0.2777777777777778,0.05078125,,,22840,153,153,15910,106,106,8530,60,60,5106,36,36,512,36,36,512,36,36,26,10,10,26,10,10
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,CANONICAL_ZERO_LEAD,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,423,239,85,13,164.08235294117648,1,1,0.1,0.1,0.03125,,,11813,85,85,7129,52,52,3027,19,19,1550,10,10,96,10,10,96,10,10,3,1,1,3,1,1
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,RT-Low,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,423,239,143,14,151.0623557062938,3,3,0.10714285714285714,0.10714285714285714,0.0472972972972973,,,22628,143,143,14792,96,96,6949,47,47,4011,28,28,296,28,28,296,28,28,14,3,3,14,3,3
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,RT-Base,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,423,239,133,15,148.43135835338353,4,4,0.10810810810810811,0.10810810810810811,0.03504043126684636,,,20624,133,133,15123,96,96,8812,55,55,5572,37,37,371,37,37,371,37,37,13,4,4,13,4,4
0.5,ODD_Q50_M_P70_REFERENCE,2016-10-31T17:30:00+08:00,EVENING,RT-High,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,423,239,164,16,162.4195607195122,9,8,0.19047619047619047,0.21428571428571427,0.04245283018867924,,,22916,164,164,15784,113,113,7268,54,54,5385,42,42,424,42,42,424,42,42,18,9,8,18,9,8
0.75,MAIN_Q75_M_P70,2016-10-31T12:00:00+08:00,NORMAL,CANONICAL_ZERO_LEAD,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,382,354,102,9,182.1078431372549,3,3,0.21428571428571427,0.21428571428571427,0.04149377593360996,,,19357,102,102,12364,67,67,5446,31,31,2186,14,14,241,14,14,241,14,14,10,3,3,10,3,3
0.75,MAIN_Q75_M_P70,2016-10-31T12:00:00+08:00,NORMAL,RT-Low,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,382,354,137,7,164.01090015328475,9,9,0.25,0.25,0.061933534743202415,,,28267,137,137,20122,95,95,11602,58,58,7393,36,36,662,36,36,662,36,36,41,9,9,41,9,9
0.75,MAIN_Q75_M_P70,2016-10-31T12:00:00+08:00,NORMAL,RT-Base,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,382,354,136,17,140.05209807352972,8,8,0.2962962962962963,0.2962962962962963,0.07554671968190854,,,31893,136,136,22031,97,97,11416,47,47,5884,27,27,503,27,27,503,27,27,38,8,8,38,8,8
