effect_axis,fixed_profile,fixed_q_A,fixed_p_A,outcome,low_level,high_level,comparison,low_value,high_value,absolute_change,relative_change,response_class
q_A,C,,0.4,service_rate,0.25,0.5,0.25_to_0.5,0.7199,0.5819,-0.138,-0.1916932907348243,monotone_decreasing
q_A,C,,0.4,service_rate,0.5,0.75,0.5_to_0.75,0.5819,0.3544,-0.22749999999999998,-0.39096064615913384,monotone_decreasing
q_A,C,,0.4,service_rate,0.25,0.75,0.25_to_0.75,0.7199,0.3544,-0.3655,-0.5077094040839005,monotone_decreasing
q_A,C,,0.4,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.9000654,291.9648606,2.064795199999992,0.007122437855096778,monotone_increasing
q_A,C,,0.4,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.9648606,292.9722942,1.007433600000013,0.003450530306728333,monotone_increasing
q_A,C,,0.4,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.9000654,292.9722942,3.072228800000005,0.010597544349501912,monotone_increasing
q_A,C,,0.4,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0310228272445247,0.0611216131064902,0.0300987858619655,0.9702141466580133,monotone_increasing
q_A,C,,0.4,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.0611216131064902,0.1370391271632806,0.0759175140567904,1.242073142351819,monotone_increasing
q_A,C,,0.4,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.0310228272445247,0.1370391271632806,0.1060162999187559,3.4173642229035397,monotone_increasing
q_A,C,,0.4,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.5982333333333333,0.4339,-0.16433333333333328,-0.27469772106758783,monotone_decreasing
q_A,C,,0.4,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4339,0.2276,-0.2063,-0.47545517400322657,monotone_decreasing
q_A,C,,0.4,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.5982333333333333,0.2276,-0.37063333333333326,-0.6195464423023346,monotone_decreasing
q_A,C,,0.7,service_rate,0.25,0.5,0.25_to_0.5,0.7216,0.5916,-0.13,-0.1801552106430155,monotone_decreasing
q_A,C,,0.7,service_rate,0.5,0.75,0.5_to_0.75,0.5916,0.3784,-0.2132,-0.3603786342123056,monotone_decreasing
q_A,C,,0.7,service_rate,0.25,0.75,0.25_to_0.75,0.7216,0.3784,-0.3432,-0.47560975609756095,monotone_decreasing
q_A,C,,0.7,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.3800095,291.6265886,2.2465790999999626,0.007763421889029838,monotone_increasing
q_A,C,,0.7,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.6265886,292.7290875,1.1024989000000005,0.0037805157111795687,monotone_increasing
q_A,C,,0.7,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.3800095,292.7290875,3.349077999999963,0.011573287338633399,monotone_increasing
q_A,C,,0.7,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0424519586104951,0.0907707910750507,0.04831883246455561,1.1382003103293823,monotone_increasing
q_A,C,,0.7,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.0907707910750507,0.1937103594080338,0.1029395683329831,1.1340604958248195,monotone_increasing
q_A,C,,0.7,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.0424519586104951,0.1937103594080338,0.15125840079753872,3.5630488144343047,monotone_increasing
q_A,C,,0.7,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.6005333333333334,0.4478666666666667,-0.15266666666666667,-0.2542184724689165,monotone_decreasing
q_A,C,,0.7,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4478666666666667,0.2530666666666666,-0.19480000000000008,-0.4349508782375709,monotone_decreasing
q_A,C,,0.7,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.6005333333333334,0.2530666666666666,-0.34746666666666676,-0.5785968028419184,monotone_decreasing
q_A,C,,1.0,service_rate,0.25,0.5,0.25_to_0.5,0.7251666666666666,0.5941333333333333,-0.13103333333333333,-0.18069409331188233,monotone_decreasing
q_A,C,,1.0,service_rate,0.5,0.75,0.5_to_0.75,0.5941333333333333,0.3907333333333333,-0.20339999999999997,-0.34234739676840215,monotone_decreasing
q_A,C,,1.0,service_rate,0.25,0.75,0.25_to_0.75,0.7251666666666666,0.3907333333333333,-0.3344333333333333,-0.4611813376235348,monotone_decreasing
q_A,C,,1.0,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,290.0,291.5451873999999,1.545187399999918,0.005328232413792821,monotone_increasing
q_A,C,,1.0,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.5451873999999,292.6497926,1.104605200000094,0.003788795863347852,monotone_increasing
q_A,C,,1.0,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,290.0,292.6497926,2.649792600000012,0.009137215862069007,monotone_increasing
q_A,C,,1.0,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0510227533900252,0.1131620287253141,0.0621392753352889,1.2178738152425337,monotone_increasing
q_A,C,,1.0,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.1131620287253141,0.2360518682818631,0.12288983955654899,1.0859635598690782,monotone_increasing
q_A,C,,1.0,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.0510227533900252,0.2360518682818631,0.18502911489183788,3.6264039589837296,monotone_increasing
q_A,C,,1.0,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.6057333333333333,0.4543,-0.15143333333333336,-0.25000000000000006,monotone_decreasing
q_A,C,,1.0,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4543,0.2698333333333333,-0.18446666666666667,-0.4060459314696603,monotone_decreasing
q_A,C,,1.0,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.6057333333333333,0.2698333333333333,-0.33590000000000003,-0.5545344486022452,monotone_decreasing
q_A,M,,0.4,service_rate,0.25,0.5,0.25_to_0.5,0.7218,0.5889,-0.13290000000000002,-0.18412302576891107,monotone_decreasing
q_A,M,,0.4,service_rate,0.5,0.75,0.5_to_0.75,0.5889,0.3721,-0.2168,-0.3681439972830701,monotone_decreasing
q_A,M,,0.4,service_rate,0.25,0.75,0.25_to_0.75,0.7218,0.3721,-0.3497,-0.48448323635356055,monotone_decreasing
q_A,M,,0.4,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.6579618,292.1314224,2.47346060000001,0.008539246028762224,monotone_increasing
q_A,M,,0.4,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,292.1314224,292.8357956,0.7043731999999636,0.0024111517830338117,monotone_increasing
q_A,M,,0.4,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.6579618,292.8357956,3.1778337999999735,0.010970987230084049,monotone_increasing
q_A,M,,0.4,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0423016532742218,0.0899416992132224,0.0476400459390006,1.1261982038898692,monotone_increasing
q_A,M,,0.4,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.0899416992132224,0.1882110543760637,0.0982693551628413,1.0925894887740195,monotone_increasing
q_A,M,,0.4,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.0423016532742218,0.1882110543760637,0.1459094011018419,3.44926001251014,monotone_increasing
q_A,M,,0.4,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.6017,0.4456333333333333,-0.1560666666666667,-0.25937621184421916,monotone_decreasing
